,Country,Value
0,Afghanistan,-1.4115658998
1,Albania,-0.7235477567
2,Algeria,-0.4756286144
3,American Samoa,0.3500251472
4,Andorra,1.2943897247
5,Angola,-1.2958785295
6,Anguilla,1.2943897247
7,Antigua and Barbuda,1.2943897247
8,Argentina,-0.4875771701
9,Armenia,-0.5290234089
10,Aruba,1.1111124754
11,Australia,1.9961314201
12,Austria,1.3486176729
13,Azerbaijan,-1.0763733387
14,Bahrain,0.3933364451
15,Bangladesh,-0.8683260083
16,Barbados,1.6624363661
17,Belarus,-0.5248666406
18,Belgium,1.5530813932
19,Belize,0.0057679606
20,Benin,-0.9324044585
21,Bermuda,1.2943897247
22,Bhutan,0.8236560225
23,Bolivia,-0.7048745155
24,Bosnia and Herzegovina,-0.2959523201
25,Botswana,0.9186304808
26,Brazil,-0.0739103109
27,Brunei Darussalam,0.6364383101
28,Bulgaria,-0.2383431643
29,Burkina Faso,-0.5199748874
30,Burundi,-1.4390894175
31,Cabo Verde,0.7885854244
32,Cambodia,-1.0462783575
33,Cameroon,-1.2674013376
34,Canada,1.9251282215
35,Cayman Islands,1.3536627293
36,Central African Republic,-0.8939709067
37,Chad,-1.2513352633
38,Chile,1.5636388063
39,China,-0.4824096859
40,Colombia,-0.4353876412
41,Comoros,-0.7258152366
42,Cook Islands,
43,Costa Rica,0.5827310085
44,Cote d'Ivoire,-0.8564438224
45,Croatia,-0.0432377346
46,Cuba,0.298918575
47,Cyprus,1.2449389696
48,Czech Republic,0.228249982
49,Denmark,2.3912553787
50,Djibouti,-0.3756684959
51,Dominica,0.6931096911
52,Dominican Republic,-0.833599329
53,Ecuador,-0.6581450105
54,El Salvador,-0.3838482797
55,Equatorial Guinea,-1.5610954762
56,Eritrea,-0.6491779089
57,Estonia,0.9798619151
58,Ethiopia,-0.607123673
59,Fiji,-0.4507327974
60,Finland,2.2215797901
61,France,1.4218540192
62,French Guiana,1.1111124754
63,Gabon,-0.5519359112
64,Georgia,0.250530988
65,Germany,1.7827242613
66,Ghana,-0.103126362
67,Greece,-0.2546307743
68,Greenland,1.2138710022
69,Grenada,0.4035140872
70,Guam,0.8222073913
71,Guatemala,-0.6156395674
72,Guinea,-1.0728727579
73,Guinea-Bissau,-1.2255284786
74,Guyana,-0.7507849932
75,Haiti,-1.2445440292
76,Honduras,-0.9400501251
77,Hungary,0.2779858708
78,Iceland,1.8663634062
79,India,-0.5649268627
80,Indonesia,-0.6564423442
81,Iraq,-1.2352744341
82,Ireland,1.4469026327
83,Israel,0.8301467299
84,Italy,-0.0276681166
85,Jamaica,-0.3624364734
86,Japan,1.6140576601
87,Jordan,0.0690692067
88,Kazakhstan,-0.8859704733
89,Kenya,-1.0939861536
90,Kiribati,0.0031996376
91,Kosovo,-0.6349416375
92,Kuwait,-0.16143848
93,Kyrgyz Republic,-1.090718627
94,Lao PDR,-1.0417025089
95,Latvia,0.1538452357
96,Lebanon,-0.8670378327
97,Lesotho,0.1055597067
98,Liberia,-0.5866804719
99,Libya,-1.4016469717
100,Liechtenstein,1.8030053377
101,Lithuania,0.3124838769
102,Luxembourg,2.1229538918
103,Madagascar,-0.5663765073
104,Malawi,-0.4424927831
105,Malaysia,0.2973293662
106,Maldives,-0.455612421
107,Mali,-0.7850939631
108,Malta,0.9642069936
109,Marshall Islands,-0.142718628
110,Martinique,0.8222073913
111,Mauritania,-0.7256399989
112,Mauritius,0.3908941746
113,Mexico,-0.409525305
114,Moldova,-0.5986275077
115,Monaco,
116,Mongolia,-0.5206006765
117,Montenegro,-0.0965317041
118,Morocco,-0.4397823215
119,Mozambique,-0.5770311952
120,Myanmar,-1.1163609028
121,Namibia,0.2923334837
122,Nauru,0.0470552035
123,Nepal,-0.8280047178
124,Netherlands,2.1287767887
125,Netherlands Antilles,0.8222073913
126,New Caledonia,
127,New Zealand,2.3208572865
128,Nicaragua,-0.7772026658
129,Niger,-0.6330212355
130,Nigeria,-1.1462987661
131,Niue,
132,Norway,2.2436728477
133,Oman,0.0796274394
134,Pakistan,-1.0619491339
135,Palau,-0.2844516337
136,Panama,-0.3857168555
137,Papua New Guinea,-1.0415052176
138,Paraguay,-0.8406106234
139,Peru,-0.3958432674
140,Philippines,-0.5872823
141,Poland,0.584751904
142,Portugal,0.9252701402
143,Puerto Rico,0.5705053806
144,Qatar,1.1889362335
145,Reunion,0.8222073913
146,Romania,-0.2578704059
147,Russian Federation,-1.0170369148
148,Rwanda,0.6475474834
149,Samoa,0.1524587125
150,San Marino,
151,Sao Tome and Principe,-0.3937045634
152,Saudi Arabia,-0.0623590089
153,Senegal,-0.292149812
154,Serbia,-0.3092706501
155,Seychelles,0.3336385489
156,Sierra Leone,-0.9518173337
157,Singapore,2.1545033455
158,Slovak Republic,0.0667571649
159,Slovenia,0.8130051494
160,Solomon Islands,-0.4499123394
161,Somalia,-1.5907326937
162,South Africa,-0.1652508825
163,South Sudan,-1.3419868946
164,Spain,1.047875762
165,Sri Lanka,-0.2431765348
166,St. Kitts and Nevis,0.9827052951
167,St. Lucia,0.9619929194
168,St. Vincent and the Grenadines,0.9827052951
169,Sudan,-1.512159586
170,Suriname,-0.3686768413
171,Swaziland,-0.3598719835
172,Sweden,2.3079230785
173,Switzerland,2.1549422741
174,Syrian Arab Republic,-1.1729217768
175,Tajikistan,-1.1759384871
176,Tanzania,-0.8024642467
177,Thailand,-0.3439293802
178,Timor-Leste,-0.9794533849
179,Togo,-1.0198531151
180,Tonga,-0.0720816627
181,Trinidad and Tobago,-0.2919098139
182,Tunisia,-0.1453726143
183,Turkey,0.1672240645
184,Turkmenistan,-1.3447641134
185,Tuvalu,-0.2966220379
186,Uganda,-0.9813963771
187,Ukraine,-1.029386878
188,United Arab Emirates,1.1761538982
189,United Kingdom,1.6397144794
190,United States,1.3776513338
191,Uruguay,1.3191363811
192,Uzbekistan,-1.2264766693
193,Vanuatu,0.4428094029
194,Vietnam,-0.559310019
195,Virgin Islands (U.S.),0.8222073913
196,West Bank and Gaza,-0.6074272394
197,Zambia,-0.3576037884
198,Zimbabwe,-1.2698124647
