,Country,Value
0,Afghanistan,-1.4031432867
1,Albania,-0.3778320551
2,Algeria,-0.6028427482
3,American Samoa,0.4605063796
4,Andorra,1.496368885
5,Angola,-1.2403261662
6,Anguilla,1.496368885
7,Antigua and Barbuda,0.4605063796
8,Argentina,-0.0309863426
9,Armenia,-0.353084147
10,Aruba,1.2374032736
11,Australia,1.8240309954
12,Austria,1.8656481504
13,Azerbaijan,-0.7653356791
14,Bahrain,0.4235257506
15,Bangladesh,-0.6791682839
16,Barbados,1.3436723948
17,Belarus,-1.126124382
18,Belgium,1.6106264591
19,Belize,-0.4946757853
20,Benin,-0.5142585039
21,Bermuda,0.9784376621
22,Bhutan,0.1908633262
23,Bolivia,-0.550625205
24,Bosnia and Herzegovina,-0.8105806112
25,Botswana,0.5910639167
26,Brazil,-0.1992307901
27,Brunei Darussalam,0.9219859242
28,Bulgaria,-0.0031853202
29,Burkina Faso,-0.7280189991
30,Burundi,-1.2351369858
31,Cabo Verde,0.3414956629
32,Cambodia,-0.8562408686
33,Cameroon,-0.826282084
34,Canada,1.7545375824
35,Cayman Islands,1.2374032736
36,Central African Republic,-1.4448443651
37,Chad,-1.5925588608
38,Chile,1.2563972473
39,China,0.1906589419
40,Colombia,-0.0506105237
41,Comoros,-1.7515809536
42,Cook Islands,0.5374238491
43,Costa Rica,0.2006397098
44,Cote d'Ivoire,-1.2096636295
45,Croatia,0.4695952535
46,Cuba,-0.3198288083
47,Cyprus,1.4260318279
48,Czech Republic,0.9044238925
49,Denmark,2.3565909863
50,Djibouti,-0.8596348166
51,Dominica,0.5137633085
52,Dominican Republic,-0.6593663692
53,Ecuador,-0.8529744148
54,El Salvador,-0.1992373616
55,Equatorial Guinea,-1.6744157076
56,Eritrea,-1.3033217192
57,Estonia,1.0389275551
58,Ethiopia,-0.389387548
59,Fiji,-0.4523122907
60,Finland,1.9665278196
61,France,1.4759007692
62,French Guiana,0.7194719911
63,Gabon,-0.8361083269
64,Georgia,0.1080922931
65,Germany,1.6343414783
66,Ghana,0.081160903
67,Greece,0.5702236891
68,Greenland,
69,Grenada,0.2220547199
70,Guam,0.2015407532
71,Guatemala,-0.5483478308
72,Guinea,-1.2737923861
73,Guinea-Bissau,-1.119582653
74,Guyana,-0.0359428935
75,Haiti,-1.3180121183
76,Honduras,-0.5548939705
77,Hungary,0.719478488
78,Iceland,1.7841029167
79,India,0.1110037789
80,Indonesia,-0.2827915251
81,Iraq,-1.5904108286
82,Ireland,1.5674833059
83,Israel,1.242169857
84,Italy,0.2136159241
