,Country,Value
0,Afghanistan,-1.5496551991
1,Albania,-0.6473411322
2,Algeria,-0.4955863953
3,American Samoa,0.3580954075
4,Andorra,1.3072177172
5,Angola,-1.3378800154
6,Anguilla,1.3072177172
7,Antigua and Barbuda,1.3072177172
8,Argentina,-0.4011465013
9,Armenia,-0.5963329673
10,Aruba,1.1187460423
11,Australia,2.080221653
12,Austria,1.4448701143
13,Azerbaijan,-1.1182938814
14,Bahrain,0.2363851368
15,Bangladesh,-1.0468353033
16,Barbados,1.7647796869
17,Belarus,-0.7248581052
18,Belgium,1.5597707033
19,Belize,-0.2602256238
20,Benin,-0.6421963573
21,Bermuda,1.3072177172
22,Bhutan,0.7360258698
23,Bolivia,-0.5339596272
24,Bosnia and Herzegovina,-0.3059233129
25,Botswana,0.9799174666
26,Brazil,0.1457041055
27,Brunei Darussalam,0.8752040267
28,Bulgaria,-0.2250054032
29,Burkina Faso,-0.3915546536
30,Burundi,-1.1223720312
31,Cabo Verde,0.8614962697
32,Cambodia,-1.2182773352
33,Cameroon,-1.0769810677
34,Canada,1.9994034767
35,Cayman Islands,1.351287365
36,Central African Republic,-0.8436175585
37,Chad,-1.2630451918
38,Chile,1.5230990648
39,China,-0.5553944707
40,Colombia,-0.3000867069
41,Comoros,-0.7084733844
42,Cook Islands,-0.208310008
43,Costa Rica,0.5846704841
44,Cote d'Ivoire,-1.0214995146
45,Croatia,0.009165586
46,Cuba,0.3507873118
47,Cyprus,0.887206316
48,Czech Republic,0.2966924906
49,Denmark,2.4525952339
50,Djibouti,-0.3046969175
51,Dominica,0.7360923886
52,Dominican Republic,-0.7643685341
53,Ecuador,-0.7939012051
54,El Salvador,-0.2115633339
55,Equatorial Guinea,-1.4883699417
56,Eritrea,-0.5680084229
57,Estonia,0.9292901158
58,Ethiopia,-0.6756953001
59,Fiji,-0.444070667
60,Finland,2.2188391685
61,France,1.5220570564
62,French Guiana,1.1187460423
63,Gabon,-0.7861901522
64,Georgia,-0.0245227851
65,Germany,1.7092653513
66,Ghana,0.039497003
67,Greece,-0.184596926
68,Greenland,1.221680522
69,Grenada,0.4374793768
70,Guam,0.8326565623
71,Guatemala,-0.4700551629
72,Guinea,-1.1127713919
73,Guinea-Bissau,-1.0534869432
74,Guyana,-0.5996645093
75,Haiti,-1.2257620096
76,Honduras,-0.7961663008
77,Hungary,0.3192439079
78,Iceland,1.946184516
79,India,-0.5727857351
80,Indonesia,-0.6799139977
81,Iraq,-1.2071959972
82,Ireland,1.5407516956
83,Israel,0.7124229074
84,Italy,0.0817239285
85,Jamaica,-0.2943493426
86,Japan,1.5678629875
87,Jordan,0.0957254991
88,Kazakhstan,-0.9787159562
89,Kenya,-0.9468263388
90,Kiribati,0.1346034557
91,Kosovo,-0.607091248
92,Kuwait,0.1301138997
93,Kyrgyz Republic,-1.1541846991
94,Lao PDR,-1.1868623495
95,Latvia,0.1881269068
96,Lebanon,-0.8867849708
97,Lesotho,0.1765134782
98,Liberia,-0.6221536994
99,Libya,-1.2937495708
100,Liechtenstein,1.8186240196
101,Lithuania,0.2398908734
102,Luxembourg,2.1677839756
103,Madagascar,-0.3221969903
104,Malawi,-0.3739083707
105,Malaysia,0.0514215156
106,Maldives,-0.5248040557
107,Mali,-0.5683822632
108,Malta,0.8344165087
109,Marshall Islands,-0.2256587893
110,Martinique,0.8326565623
111,Mauritania,-0.5565273762
112,Mauritius,0.6308020949
113,Mexico,-0.4012973011
114,Moldova,-0.6259949803
115,Monaco,
116,Mongolia,-0.6756600738
117,Montenegro,-0.211429432
118,Morocco,-0.3999978006
119,Mozambique,-0.4907757342
120,Myanmar,-1.6839181185
121,Namibia,0.2944425642
122,Nauru,0.0219130721
123,Nepal,-0.7403616905
124,Netherlands,2.1565496922
125,Netherlands Antilles,0.8326565623
126,New Caledonia,
127,New Zealand,2.3376228809
128,Nicaragua,-0.7368434072
129,Niger,-0.5938050151
130,Nigeria,-1.1341607571
131,Niue,-0.4115969241
132,Norway,2.1739017963
133,Oman,-0.0010039222
134,Pakistan,-1.0526468754
135,Palau,-0.4265033901
136,Panama,-0.3414283693
137,Papua New Guinea,-1.1003606319
138,Paraguay,-0.7132680416
139,Peru,-0.2492803931
140,Philippines,-0.6964903474
141,Poland,0.4851744473
142,Portugal,1.0842738152
143,Puerto Rico,0.4888193607
144,Qatar,1.0824769735
145,Reunion,0.8326565623
146,Romania,-0.1901770234
147,Russian Federation,-1.0364830494
148,Rwanda,0.4286380112
149,Samoa,0.1077445447
150,San Marino,
151,Sao Tome and Principe,-0.3662736416
152,Saudi Arabia,-0.374928534
153,Senegal,-0.5275720358
154,Serbia,-0.2497646213
155,Seychelles,0.2548861504
156,Sierra Leone,-0.8326030374
157,Singapore,2.123197794
158,Slovak Republic,0.2434423417
159,Slovenia,0.9006870985
160,Solomon Islands,-0.4085197151
161,Somalia,-1.6969038248
162,South Africa,0.0273254346
163,South Sudan,-1.630662322
164,Spain,1.0545305014
165,Sri Lanka,-0.3738120496
166,St. Kitts and Nevis,1.0494203568
167,St. Lucia,1.2286833525
168,St. Vincent and the Grenadines,1.0494203568
169,Sudan,-1.2284965515
170,Suriname,-0.3659000993
171,Swaziland,-0.2953739166
172,Sweden,2.2218782902
173,Switzerland,2.0514819622
174,Syrian Arab Republic,-1.0453863144
175,Tajikistan,-1.1448808908
176,Tanzania,-0.625644803
177,Thailand,-0.2900350988
178,Timor-Leste,-1.0465378761
179,Togo,-1.0040062666
180,Tonga,-0.2972755134
181,Trinidad and Tobago,-0.2817745805
182,Tunisia,-0.1690006256
183,Turkey,0.0553030521
184,Turkmenistan,-1.4451543093
185,Tuvalu,-0.4727998972
186,Uganda,-0.8932123184
187,Ukraine,-0.9962130785
188,United Arab Emirates,1.0728062391
189,United Kingdom,1.5843977928
190,United States,1.2651016712
191,Uruguay,1.2378220558
192,Uzbekistan,-1.3070474863
193,Vanuatu,0.3734970987
194,Vietnam,-0.6151257753
195,Virgin Islands (U.S.),0.8326565623
196,West Bank and Gaza,-0.801318109
197,Zambia,-0.4696943164
198,Zimbabwe,-1.378290534
