,Country,Value
0,Afghanistan,-1.3975580931
1,Albania,-0.2803274989
2,Algeria,-0.5471286774
3,American Samoa,0.4774332047
4,Andorra,1.5167528391
5,Angola,-1.0232696533
6,Anguilla,1.5167528391
7,Antigua and Barbuda,0.4774332047
8,Argentina,-0.2549019754
9,Armenia,-0.036416579
10,Aruba,1.2313194275
11,Australia,1.6121361256
12,Austria,1.557238698
13,Azerbaijan,-0.7780845165
14,Bahrain,0.5403719544
15,Bangladesh,-0.8250402212
16,Barbados,1.4522166252
17,Belarus,-0.9395956993
18,Belgium,1.5906931162
19,Belize,-0.176788345
20,Benin,-0.526492238
21,Bermuda,0.9970930219
22,Bhutan,0.4773473442
23,Bolivia,-0.3737482429
24,Bosnia and Herzegovina,-0.4680716991
25,Botswana,0.4473828077
26,Brazil,-0.1243110672
27,Brunei Darussalam,0.8343758583
28,Bulgaria,0.1362747848
29,Burkina Faso,-0.6303672194
30,Burundi,-1.3115968704
31,Cabo Verde,0.1033421308
32,Cambodia,-0.8311045766
33,Cameroon,-0.9040274024
34,Canada,1.7536541224
35,Cayman Islands,1.2313194275
36,Central African Republic,-1.461894989
37,Chad,-1.4927726984
38,Chile,1.2522964478
39,China,0.0063612899
40,Colombia,0.0108816354
41,Comoros,-1.5457241535
42,Cook Islands,
43,Costa Rica,0.4875459373
44,Cote d'Ivoire,-1.1105834246
45,Croatia,0.6953917742
46,Cuba,-0.4193430841
47,Cyprus,1.3777626753
48,Czech Republic,0.9175431728
49,Denmark,1.9652622938
50,Djibouti,-1.0962710381
51,Dominica,0.6603047252
52,Dominican Republic,-0.550199151
53,Ecuador,-0.5100547075
54,El Salvador,-0.1430124193
55,Equatorial Guinea,-1.6495741606
56,Eritrea,-1.5114637613
57,Estonia,0.9607759118
58,Ethiopia,-0.4356956184
59,Fiji,-0.8991214037
60,Finland,2.2144703865
61,France,1.3292576075
62,French Guiana,1.1122475863
63,Gabon,-0.7755252123
64,Georgia,0.5654783249
65,Germany,1.5749462843
66,Ghana,-0.0724168569
67,Greece,0.3074923456
68,Greenland,0.9667467475
69,Grenada,0.3058266938
70,Guam,-0.0422266237
71,Guatemala,-0.7632618546
72,Guinea,-1.278465867
73,Guinea-Bissau,-1.2438663244
74,Guyana,-0.1397996396
75,Haiti,-1.6263244152
76,Honduras,-0.7174600959
77,Hungary,0.6189724207
78,Iceland,1.4855345488
79,India,-0.1812571436
80,Indonesia,-0.2908396721
81,Iraq,-1.1129221916
82,Ireland,1.5298959017
83,Israel,1.2517567873
84,Italy,0.4101397395
85,Jamaica,-0.0219476782
86,Japan,1.3967891932
87,Jordan,-0.0364827625
88,Kazakhstan,-0.4413370788
89,Kenya,-0.5388474464
90,Kiribati,-0.8341485262
91,Kosovo,-0.3874948323
92,Kuwait,-0.0767510161
93,Kyrgyz Republic,-0.6586881876
94,Lao PDR,-0.8781779408
95,Latvia,0.8298164606
96,Lebanon,-0.3415558636
97,Lesotho,-0.3878078163
98,Liberia,-1.1706066132
99,Libya,-1.4899796247
100,Liechtenstein,1.7643609047
101,Lithuania,0.8281379938
102,Luxembourg,1.6587826014
103,Madagascar,-1.0891851187
104,Malawi,-0.4911952615
105,Malaysia,1.0098999739
106,Maldives,-0.159523949
107,Mali,-0.9861257672
108,Malta,1.2403454781
109,Marshall Islands,-1.6487685442
110,Martinique,0.7372631431
111,Mauritania,-0.9219750166
112,Mauritius,0.9513337612
113,Mexico,0.3216981292
114,Moldova,-0.5523104072
115,Monaco,
116,Mongolia,-0.6322616339
117,Montenegro,0.1284785271
118,Morocco,-0.0686739534
119,Mozambique,-0.6335296631
120,Myanmar,-1.53002882
