,Country,Value
0,Afghanistan,-1.4576836824
1,Albania,-0.201513648
2,Algeria,-0.5730738044
3,American Samoa,0.4790646136
4,Andorra,1.4966692924
5,Angola,-1.1477892399
6,Anguilla,1.4966692924
7,Antigua and Barbuda,0.4790646136
8,Argentina,-0.136648953
9,Armenia,-0.1049325094
10,Aruba,1.2181138992
11,Australia,1.6979151964
12,Austria,1.6122449636
13,Azerbaijan,-0.7554162741
14,Bahrain,0.5467204452
15,Bangladesh,-0.7586064339
16,Barbados,1.4641633034
17,Belarus,-1.0952688456
18,Belgium,1.6596679688
19,Belize,-0.3611377478
20,Benin,-0.5221613646
21,Bermuda,0.9878669381
22,Bhutan,0.6163352132
23,Bolivia,-0.4634525776
24,Bosnia and Herzegovina,-0.7627468705
25,Botswana,0.4795766473
26,Brazil,-0.1179022491
27,Brunei Darussalam,0.8872346282
28,Bulgaria,0.1085757464
29,Burkina Faso,-0.5430465937
30,Burundi,-1.0535111427
31,Cabo Verde,0.1554419249
32,Cambodia,-0.8502784967
33,Cameroon,-0.8761307001
34,Canada,1.7779420614
35,Cayman Islands,1.2181138992
36,Central African Republic,-1.2780116796
37,Chad,-1.3489468098
38,Chile,1.2561602592
39,China,0.095403038
40,Colombia,0.063894242
41,Comoros,-1.7532923222
42,Cook Islands,-0.9752992392
43,Costa Rica,0.3431423604
44,Cote d'Ivoire,-1.1250665188
45,Croatia,0.5615554452
46,Cuba,-0.4040691555
47,Cyprus,1.5644440651
48,Czech Republic,0.9317781329
49,Denmark,2.1109673977
50,Djibouti,-0.9632332921
51,Dominica,0.6078295112
52,Dominican Republic,-0.5848728418
53,Ecuador,-0.5865821242
54,El Salvador,-0.1074456125
55,Equatorial Guinea,-1.6347703934
56,Eritrea,-1.4180855751
57,Estonia,1.0952883959
58,Ethiopia,-0.4672211409
59,Fiji,-0.7112115622
60,Finland,2.2582740784
61,France,1.37236166
62,French Guiana,1.1627441645
63,Gabon,-0.8040679097
64,Georgia,0.5525715947
65,Germany,1.5477401018
66,Ghana,-0.0505842716
67,Greece,0.5023315549
68,Greenland,0.9787451029
69,Grenada,0.2253061831
70,Guam,-0.0297377668
71,Guatemala,-0.6995022893
72,Guinea,-1.1456027031
73,Guinea-Bissau,-1.0359808207
74,Guyana,-0.0964533165
75,Haiti,-1.6527327299
76,Honduras,-0.5489557981
77,Hungary,0.6751397848
78,Iceland,1.5765628815
79,India,-0.0050789909
80,Indonesia,-0.2488632649
81,Iraq,-1.1508324146
82,Ireland,1.4504123926
83,Israel,1.3294930458
84,Italy,0.3793181777
85,Jamaica,0.2160626203
86,Japan,1.4690234661
87,Jordan,0.095202513
88,Kazakhstan,-0.4263164699
89,Kenya,-0.5640926361
90,Kiribati,-0.7772301435
91,Kosovo,-0.4969892502
92,Kuwait,0.021358151
