,Country,Value
0,Afghanistan,-1.590514183
1,Albania,-0.6591640711
2,Algeria,-0.5155217052
3,American Samoa,0.3389746547
4,Andorra,1.298273921
5,Angola,-1.3204083443
6,Anguilla,1.298273921
7,Antigua and Barbuda,1.298273921
8,Argentina,-0.3980801404
9,Armenia,-0.6636816859
10,Aruba,1.298273921
11,Australia,2.0415980816
12,Austria,2.1025216579
13,Azerbaijan,-1.0177770853
14,Bahrain,0.2513350248
15,Bangladesh,-1.0469868183
16,Barbados,1.3390458822
17,Belarus,-0.6816115975
18,Belgium,1.2968548536
19,Belize,-0.379635036
20,Benin,-0.4735465944
21,Bermuda,1.298273921
22,Bhutan,0.7406488061
23,Bolivia,-0.3552163243
24,Bosnia and Herzegovina,-0.3777413666
25,Botswana,0.9416584969
26,Brazil,-0.1167135835
27,Brunei Darussalam,0.2398841679
28,Bulgaria,-0.2334967852
29,Burkina Faso,-0.3513588309
30,Burundi,-1.1164115667
31,Cabo Verde,0.7871323824
32,Cambodia,-1.0899659395
33,Cameroon,-0.9512480497
34,Canada,1.9826610088
35,Cayman Islands,1.298273921
36,Central African Republic,-0.9723970294
37,Chad,-1.3006011248
38,Chile,1.3264849186
39,China,-0.5941412449
40,Colombia,-0.1891593337
41,Comoros,-0.6524518728
42,Cook Islands,1.0604342222
43,Costa Rica,0.3958026767
44,Cote d'Ivoire,-1.0718137026
45,Croatia,0.0761777312
46,Cuba,0.2819855511
47,Cyprus,1.0755995512
48,Czech Republic,0.2342171371
49,Denmark,2.5250475407
50,Djibouti,-0.467931658
51,Dominica,0.665700078
52,Dominican Republic,-0.6791770458
53,Ecuador,-0.8742402792
54,El Salvador,-0.2867991328
55,Equatorial Guinea,-1.541703701
56,Eritrea,-0.4949700236
57,Estonia,0.9136586785
58,Ethiopia,-0.6064620018
59,Fiji,-0.36476174
60,Finland,2.4706923962
61,France,1.4420070648
62,French Guiana,0.818624258
63,Gabon,-1.0328924656
64,Georgia,-0.2491333485
65,Germany,1.6975926161
66,Ghana,0.0512595065
67,Greece,0.252671808
68,Greenland,
69,Grenada,0.3702101111
70,Guam,0.818624258
71,Guatemala,-0.6889354587
72,Guinea,-1.2414125204
73,Guinea-Bissau,-1.1393865347
74,Guyana,-0.6277322769
75,Haiti,-1.2839393616
76,Honduras,-0.692525804
77,Hungary,0.5587831736
78,Iceland,2.2714648247
79,India,-0.4249872565
80,Indonesia,-0.5828694105
81,Iraq,-1.5762072802
82,Ireland,1.7505744696
83,Israel,0.8124690652
84,Italy,0.3059104085
85,Jamaica,-0.4855742753
86,Japan,1.2065217495
87,Jordan,0.3080952466
88,Kazakhstan,-0.9122092128
89,Kenya,-0.9055170417
90,Kiribati,0.1390842944
91,Kosovo,-0.7590910792
92,Kuwait,0.4902714789
93,Kyrgyz Republic,-1.2406601906
94,Lao PDR,-1.2844133377
95,Latvia,0.2480645031
96,Lebanon,-0.8923407197
97,Lesotho,-0.1201863587
98,Liberia,-0.3319969475
99,Libya,-0.9596364498
100,Liechtenstein,1.1142226458
101,Lithuania,0.0350327604
102,Luxembourg,2.0065207481
103,Madagascar,-0.0992986336
104,Malawi,-0.5386252999
105,Malaysia,0.2804419398
106,Maldives,-0.8334358335
107,Mali,-0.3351543248
108,Malta,1.0618618727
109,Marshall Islands,-0.5696452856
110,Martinique,0.818624258
111,Mauritania,-0.5043988228
112,Mauritius,0.4949201345
113,Mexico,-0.2606900036
114,Moldova,-0.6015926003
115,Monaco,
116,Mongolia,-0.6561428905
117,Montenegro,-0.3063164055
118,Morocco,-0.323179543
119,Mozambique,-0.4942074716
120,Myanmar,-1.5652626753
121,Namibia,0.2621193528
122,Nauru,-0.2755717635
123,Nepal,-0.714512229
124,Netherlands,2.216354847
125,Netherlands Antilles,1.298273921
126,New Caledonia,
127,New Zealand,2.3441860676
128,Nicaragua,-0.7641424537
129,Niger,-0.7764962316
130,Nigeria,-0.9835034013
131,Niue,
132,Norway,1.9619905949
133,Oman,0.2665289938
134,Pakistan,-0.7398170829
135,Palau,
136,Panama,-0.3547721803
137,Papua New Guinea,-1.2391830683
138,Paraguay,-1.244181633
139,Peru,-0.2605243325
140,Philippines,-0.6977164745
141,Poland,0.192792967
142,Portugal,0.9564535618
143,Puerto Rico,0.4797771871
144,Qatar,0.8087020516
145,Reunion,0.818624258
146,Romania,-0.1707544774
147,Russian Federation,-0.9498597383
148,Rwanda,0.0142278634
149,Samoa,0.2248535007
150,San Marino,
151,Sao Tome and Principe,-0.4779002964
152,Saudi Arabia,-0.1787541062
153,Senegal,-0.5533636808
154,Serbia,-0.3469897211
155,Seychelles,0.1886966825
156,Sierra Leone,-0.8956106901
157,Singapore,2.2479059696
158,Slovak Republic,0.303801775
159,Slovenia,0.9807204604
160,Solomon Islands,-0.629218936
161,Somalia,-1.8967528343
162,South Africa,0.2195538431
163,South Sudan,
164,Spain,0.9910719991
165,Sri Lanka,-0.0976835191
166,St. Kitts and Nevis,0.9611901045
167,St. Lucia,1.139454484
168,St. Vincent and the Grenadines,0.9611901045
169,Sudan,-1.3432425261
170,Suriname,-0.0971812531
171,Swaziland,-0.2407845408
172,Sweden,2.2438070774
173,Switzerland,2.18770504
174,Syrian Arab Republic,-1.0062935352
175,Tajikistan,-0.9136688113
176,Tanzania,-0.3428708911
177,Thailand,-0.3625425994
178,Timor-Leste,-0.9206793308
179,Togo,-0.9521496892
180,Tonga,-1.0333151817
181,Trinidad and Tobago,-0.2447215021
182,Tunisia,-0.1059228927
183,Turkey,0.0900149345
184,Turkmenistan,-1.4684938192
185,Tuvalu,-0.1939299703
186,Uganda,-0.7976807952
187,Ukraine,-0.7405164242
188,United Arab Emirates,1.0773319006
189,United Kingdom,1.7200022936
190,United States,1.3394700289
191,Uruguay,1.1264293194
192,Uzbekistan,-0.913209796
193,Vanuatu,0.2777594626
194,Vietnam,-0.6352590322
195,Virgin Islands (U.S.),0.818624258
196,West Bank and Gaza,-0.8129157424
197,Zambia,-0.5710554123
198,Zimbabwe,-1.3576049805
