,Country,Value
0,Afghanistan,-1.624465704
1,Albania,-0.4885777533
2,Algeria,-0.4878051579
3,American Samoa,0.3719131649
4,Andorra,1.3330210447
5,Angola,-1.3192175627
6,Anguilla,1.3330210447
7,Antigua and Barbuda,1.3330210447
8,Argentina,-0.4135072827
9,Armenia,-0.6506096125
10,Aruba,1.1331498623
11,Australia,2.0442385674
12,Austria,1.6266258955
13,Azerbaijan,-1.1790171862
14,Bahrain,0.2490037978
15,Bangladesh,-1.0232698917
16,Barbados,1.436128974
17,Belarus,-0.7295017838
18,Belgium,1.4940935373
19,Belize,-0.0817510709
20,Benin,-0.737614274
21,Bermuda,1.3330210447
22,Bhutan,0.8216552734
23,Bolivia,-0.4423157871
24,Bosnia and Herzegovina,-0.3247105181
25,Botswana,1.0033346415
26,Brazil,-0.0006795832
27,Brunei Darussalam,0.8947635293
28,Bulgaria,-0.2069802433
29,Burkina Faso,-0.3886223137
30,Burundi,-1.1056302786
31,Cabo Verde,0.7979346514
32,Cambodia,-1.2323845625
33,Cameroon,-0.9846665263
34,Canada,2.0968079567
35,Cayman Islands,1.1331498623
36,Central African Republic,-0.8361163139
37,Chad,-1.3353703022
38,Chile,1.4859126806
39,China,-0.5958467722
40,Colombia,-0.4086259902
41,Comoros,-0.7456257939
42,Cook Islands,-0.2356423587
43,Costa Rica,0.6478212476
44,Cote d'Ivoire,-1.1378797293
45,Croatia,-0.0287593491
46,Cuba,0.4102834463
47,Cyprus,1.0047795773
48,Czech Republic,0.2591120899
49,Denmark,2.4135639668
50,Djibouti,-0.3170970976
51,Dominica,0.7354363799
52,Dominican Republic,-0.8076913357
53,Ecuador,-0.8613360524
54,El Salvador,-0.2338723391
55,Equatorial Guinea,-1.4922897816
56,Eritrea,-0.4746679366
57,Estonia,0.8609744906
58,Ethiopia,-0.7039920092
59,Fiji,-0.8490893841
60,Finland,2.181958437
61,France,1.4359748363
62,French Guiana,1.1331498623
63,Gabon,-0.7803832293
64,Georgia,-0.1190749332
65,Germany,1.7368941307
66,Ghana,0.0597239137
67,Greece,-0.1581794024
68,Greenland,1.2001363039
69,Grenada,0.437402159
70,Guam,0.8524670601
71,Guatemala,-0.4812993407
72,Guinea,-1.1922491789
73,Guinea-Bissau,-1.0625702143
74,Guyana,-0.5548208952
75,Haiti,-1.2079254389
76,Honduras,-0.8656970263
77,Hungary,0.2524087727
78,Iceland,1.9374301434
79,India,-0.5128427744
80,Indonesia,-0.7454031706
81,Iraq,-1.3101540804
82,Ireland,1.6985143423
83,Israel,0.6680691838
84,Italy,-0.0049817106
85,Jamaica,-0.3756710887
86,Japan,1.5730450153
87,Jordan,0.0647471771
88,Kazakhstan,-0.9753452539
89,Kenya,-0.935705781
90,Kiribati,-0.042808149
91,Kosovo,-0.6242438555
92,Kuwait,0.399751246
93,Kyrgyz Republic,-1.1090655327
94,Lao PDR,-1.2068852186
95,Latvia,0.1253570616
96,Lebanon,-0.860668242
97,Lesotho,0.1781596094
98,Liberia,-0.5278384686
99,Libya,-1.2580994368
100,Liechtenstein,1.8541508913
101,Lithuania,0.2707421184
102,Luxembourg,2.0631206036
103,Madagascar,-0.2742307484
104,Malawi,-0.4574005604
105,Malaysia,0.1330046356
106,Maldives,-0.5262160301
107,Mali,-0.6507666707
108,Malta,0.8550025821
109,Marshall Islands,-0.3280264437
110,Martinique,0.8524670601
111,Mauritania,-0.6710209846
112,Mauritius,0.6527594328
113,Mexico,-0.3702896237
114,Moldova,-0.6860075593
115,Monaco,
116,Mongolia,-0.7301729321
117,Montenegro,-0.2376548201
118,Morocco,-0.1752992421
119,Mozambique,-0.429182142
120,Myanmar,-1.6828309298
121,Namibia,0.3176178038
122,Nauru,0.0588211268
123,Nepal,-0.6483138204
124,Netherlands,2.1792504787
125,Netherlands Antilles,0.8524670601
126,New Caledonia,
127,New Zealand,2.3962943554
128,Nicaragua,-0.7734491229
129,Niger,-0.6676175594
130,Nigeria,-0.9973266125
131,Niue,-0.4382665157
132,Norway,2.1022293568
133,Oman,0.2836540341
134,Pakistan,-1.0711113214
135,Palau,-0.4372249246
136,Panama,-0.3516879976
137,Papua New Guinea,-1.1303399801
138,Paraguay,-0.7418506145
139,Peru,-0.2504282892
140,Philippines,-0.8036748171
141,Poland,0.4131818712
142,Portugal,1.0305711031
143,Puerto Rico,0.4977208972
144,Qatar,1.5686968565
145,Reunion,0.8524670601
146,Romania,-0.2154220939
147,Russian Federation,-1.0587034225
148,Rwanda,0.4625661969
149,Samoa,0.1296676248
150,San Marino,
151,Sao Tome and Principe,-0.4346165359
152,Saudi Arabia,0.0566928983
153,Senegal,-0.6938685775
154,Serbia,-0.2866800725
155,Seychelles,0.2928382456
156,Sierra Leone,-0.7731903195
157,Singapore,2.2129163742
158,Slovak Republic,0.2352909595
159,Slovenia,0.8538353443
160,Solomon Islands,-0.4248219132
161,Somalia,-1.7387512922
162,South Africa,0.0927990749
163,South Sudan,-0.7734246254
164,Spain,1.0132770538
165,Sri Lanka,-0.3992263973
166,St. Kitts and Nevis,1.038724184
167,St. Lucia,1.2230738401
168,St. Vincent and the Grenadines,1.038724184
169,Sudan,-1.256675005
170,Suriname,-0.4307777882
171,Swaziland,-0.1673406661
172,Sweden,2.3189690113
173,Switzerland,2.0986828804
174,Syrian Arab Republic,-1.0819880962
175,Tajikistan,-1.1980535984
176,Tanzania,-0.5390071869
177,Thailand,-0.3158482313
178,Timor-Leste,-0.9684858322
179,Togo,-0.9645153284
180,Tonga,-0.3138478398
181,Trinidad and Tobago,-0.363742739
182,Tunisia,-0.149034217
183,Turkey,0.0299381185
184,Turkmenistan,-1.4358466864
185,Tuvalu,-0.205645293
186,Uganda,-0.9043889046
187,Ukraine,-0.9751685262
188,United Arab Emirates,0.9287282228
189,United Kingdom,1.5604578257
190,United States,1.2596634626
191,Uruguay,1.2446652651
192,Uzbekistan,-1.2432669401
193,Vanuatu,0.3481127322
194,Vietnam,-0.6279593706
195,Virgin Islands (U.S.),0.8524670601
196,West Bank and Gaza,-0.3376656771
197,Zambia,-0.5654289722
198,Zimbabwe,-1.3060536385
