,Country,Value
0,Afghanistan,-1.48808074
1,Albania,-0.4563621581
2,Algeria,-0.5221320987
3,American Samoa,0.2040341645
4,Andorra,1.5160849094
5,Angola,-1.3683214188
6,Anguilla,1.5160849094
7,Antigua and Barbuda,0.4664443135
8,Argentina,-0.0396799408
9,Armenia,-0.2146050781
10,Aruba,1.2536747456
11,Australia,1.7559555769
12,Austria,1.819429636
13,Azerbaijan,-0.6750007272
14,Bahrain,0.4039398134
15,Bangladesh,-0.7715480328
16,Barbados,1.4786647558
17,Belarus,-1.17045331
18,Belgium,1.7158148289
19,Belize,-0.4090210497
20,Benin,-0.5668718815
21,Bermuda,0.9912645817
22,Bhutan,0.1755449474
23,Bolivia,-0.6441158652
24,Bosnia and Herzegovina,-0.5989746451
25,Botswana,0.5196791291
26,Brazil,-0.2299091667
27,Brunei Darussalam,0.8445809484
28,Bulgaria,-0.0037378026
29,Burkina Faso,-0.7430961728
30,Burundi,-1.0844954252
31,Cabo Verde,0.101071164
32,Cambodia,-0.9598201513
33,Cameroon,-0.929444313
34,Canada,1.9232925177
35,Cayman Islands,1.2536747456
36,Central African Republic,-1.4106291533
37,Chad,-1.4424512386
38,Chile,1.1042696238
39,China,0.0823860765
40,Colombia,-0.1210224926
41,Comoros,-1.6849777699
42,Cook Islands,0.43211779
43,Costa Rica,0.1050358489
44,Cote d'Ivoire,-1.1746311188
45,Croatia,0.5646066666
46,Cuba,-0.4645650685
47,Cyprus,1.3149495125
48,Czech Republic,1.0761919022
49,Denmark,2.2519309521
50,Djibouti,-0.8974766731
51,Dominica,0.4830623865
52,Dominican Republic,-0.5778093338
53,Ecuador,-0.9740430713
54,El Salvador,-0.191062957
55,Equatorial Guinea,-1.5973533392
56,Eritrea,-1.3089702129
57,Estonia,1.1467881203
58,Ethiopia,-0.5740396976
59,Fiji,-0.1303625256
60,Finland,2.1298513412
61,France,1.5854840279
62,French Guiana,0.7288544178
63,Gabon,-0.8481420875
64,Georgia,-0.1811982691
65,Germany,1.6223318577
66,Ghana,0.1052147448
67,Greece,0.6830585003
68,Greenland,
69,Grenada,0.2359014452
70,Guam,0.2040341645
71,Guatemala,-0.5924047232
72,Guinea,-1.3414672613
73,Guinea-Bissau,-1.1314842701
74,Guyana,-0.2144138664
75,Haiti,-1.3256272078
76,Honduras,-0.6136006117
77,Hungary,0.8753629327
78,Iceland,1.866620183
79,India,-0.0456389114
80,Indonesia,-0.3387078941
81,Iraq,-1.7701630592
82,Ireland,1.5859092474
83,Israel,1.2452915907
84,Italy,0.3876192868
85,Jamaica,0.2708850205
86,Japan,1.5571893454
87,Jordan,0.1840970367
88,Kazakhstan,-0.4572462738
89,Kenya,-0.5838612318
90,Kiribati,-0.5151329041
91,Kosovo,-0.3677453101
92,Kuwait,0.2407060564
93,Kyrgyz Republic,-0.777309835
94,Lao PDR,-0.9859849215
95,Latvia,0.6861227751
96,Lebanon,-0.3221636117
97,Lesotho,-0.3629028797
98,Liberia,-1.185126543
99,Libya,-1.11326015
100,Liechtenstein,1.7784949541
101,Lithuania,0.7479395866
102,Luxembourg,1.5874484777
103,Madagascar,-0.5250993371
104,Malawi,-0.8132068515
105,Malaysia,1.1963918209
106,Maldives,0.0396269709
107,Mali,-0.6821867824
108,Malta,1.0820823908
109,Marshall Islands,-1.1078617573
110,Martinique,0.7288544178
111,Mauritania,-0.7744458914
112,Mauritius,0.679428339
113,Mexico,0.1636873484
114,Moldova,-0.7871918082
115,Monaco,
116,Mongolia,-0.4083897173
117,Montenegro,-0.132337898
118,Morocco,-0.1426754743
119,Mozambique,-0.5597420335
120,Myanmar,-1.5113219023
121,Namibia,0.1246046275
122,Nauru,
123,Nepal,-0.7843868136
124,Netherlands,1.7795522213
125,Netherlands Antilles,0.7288544178
126,New Caledonia,
127,New Zealand,1.6560411453
128,Nicaragua,-0.8473510742
129,Niger,-0.7982162237
130,Nigeria,-0.9612442255
131,Niue,
132,Norway,1.9400290251
133,Oman,0.2672091126
134,Pakistan,-0.3659224212
135,Palau,
136,Panama,0.0763414651
137,Papua New Guinea,-0.7813005447
138,Paraguay,-0.8930637836
139,Peru,-0.5801371336
140,Philippines,-0.0568671115
141,Poland,0.4223075807
142,Portugal,0.8825893998
143,Puerto Rico,0.576161623
144,Qatar,0.5540686846
145,Reunion,0.9912645817
146,Romania,-0.2119184881
147,Russian Federation,-0.4495201409
148,Rwanda,-0.2852520049
149,Samoa,0.2562154531
150,San Marino,
151,Sao Tome and Principe,-0.814312458
152,Saudi Arabia,-0.2261921316
153,Senegal,-0.3172448277
154,Serbia,-0.1999290884
155,Seychelles,0.0134295812
156,Sierra Leone,-1.1642917395
157,Singapore,2.1760365963
158,Slovak Republic,0.9155579805
159,Slovenia,0.9831059575
160,Solomon Islands,-1.0001373291
161,Somalia,-2.3148682117
162,South Africa,0.5033601522
163,South Sudan,
164,Spain,0.8906543255
165,Sri Lanka,-0.179818213
166,St. Kitts and Nevis,0.7323792577
167,St. Lucia,0.7323792577
168,St. Vincent and the Grenadines,0.7323792577
169,Sudan,-1.1420373917
170,Suriname,-0.2379046679
171,Swaziland,-0.835898757
172,Sweden,1.8430960178
173,Switzerland,2.0309889317
174,Syrian Arab Republic,-0.9322289228
175,Tajikistan,-1.0340303183
176,Tanzania,-0.3387489021
177,Thailand,0.4047818184
178,Timor-Leste,-1.0472587347
179,Togo,-1.5681116581
180,Tonga,-0.6727432609
181,Trinidad and Tobago,0.1433425993
182,Tunisia,0.5770477057
183,Turkey,0.159374848
184,Turkmenistan,-1.5607771873
185,Tuvalu,-0.405872792
186,Uganda,-0.4811038971
187,Ukraine,-0.5427019
188,United Arab Emirates,0.9163560867
189,United Kingdom,1.7190185785
190,United States,1.602899909
191,Uruguay,0.3920153379
192,Uzbekistan,-1.1629923582
193,Vanuatu,-0.4740827978
