,Country,Value
0,Afghanistan,-1.4301185608
1,Albania,-0.716902256
2,Algeria,-0.4671038687
3,American Samoa,0.3520898223
4,Andorra,1.2857542038
5,Angola,-1.325143218
6,Anguilla,1.2857542038
7,Antigua and Barbuda,1.2857542038
8,Argentina,-0.4609751701
9,Armenia,-0.4680692255
10,Aruba,1.1285053492
11,Australia,1.7605866194
12,Austria,1.5055019855
13,Azerbaijan,-0.90352422
14,Bahrain,0.4522404373
15,Bangladesh,-0.8934547305
16,Barbados,1.6098616123
17,Belarus,-0.5200216174
18,Belgium,1.6302195787
19,Belize,0.0180984605
20,Benin,-0.8343880177
21,Bermuda,1.2857542038
22,Bhutan,0.8234741092
23,Bolivia,-0.5893698335
24,Bosnia and Herzegovina,-0.2235216945
25,Botswana,0.9118644595
26,Brazil,-0.1182363555
27,Brunei Darussalam,0.721916914
28,Bulgaria,-0.2941380143
29,Burkina Faso,-0.5760521889
30,Burundi,-1.3667424917
31,Cabo Verde,0.7640688419
32,Cambodia,-1.0147271156
33,Cameroon,-1.1942989826
34,Canada,1.8748031855
35,Cayman Islands,1.3574852943
36,Central African Republic,-1.0417904854
37,Chad,-1.2852876186
38,Chile,1.5184669495
39,China,-0.3570632041
40,Colombia,-0.4385291338
41,Comoros,-0.728022933
42,Cook Islands,
43,Costa Rica,0.5936166644
44,Cote d'Ivoire,-0.7780410647
45,Croatia,0.1056256518
46,Cuba,0.1228455976
47,Cyprus,1.2385579348
48,Czech Republic,0.1893467605
49,Denmark,2.4099838734
50,Djibouti,-0.4409844875
51,Dominica,0.6935931444
52,Dominican Republic,-0.8465890288
53,Ecuador,-0.609890759
54,El Salvador,-0.3496370614
55,Equatorial Guinea,-1.6091721058
56,Eritrea,-0.7950235009
57,Estonia,1.1080032587
58,Ethiopia,-0.504982233
59,Fiji,-0.420134604
60,Finland,2.1919541359
61,France,1.3021210432
62,French Guiana,1.1285053492
63,Gabon,-0.5575608015
64,Georgia,0.3523097932
65,Germany,1.7776106596
66,Ghana,-0.0816660747
67,Greece,-0.1063624546
68,Greenland,1.2301769257
69,Grenada,0.4109130502
70,Guam,0.8189220428
71,Guatemala,-0.5773071051
72,Guinea,-1.0509057045
73,Guinea-Bissau,-1.3302018642
74,Guyana,-0.6452713609
75,Haiti,-1.1551949978
76,Honduras,-0.9506080747
77,Hungary,0.2868344486
78,Iceland,1.9010584354
79,India,-0.559140861
80,Indonesia,-0.6221967936
81,Iraq,-1.2521233559
82,Ireland,1.5383628607
83,Israel,0.8421353698
84,Italy,-0.0396052264
85,Jamaica,-0.3702201545
86,Japan,1.6470080614
87,Jordan,0.08579503
88,Kazakhstan,-0.900852859
89,Kenya,-1.0596624613
90,Kiribati,-0.0407635458
91,Kosovo,-0.6553581953
92,Kuwait,-0.1543146819
93,Kyrgyz Republic,-1.12496984
94,Lao PDR,-0.8996952772
95,Latvia,0.2649813294
96,Lebanon,-0.92637676
97,Lesotho,0.2261492163
98,Liberia,-0.6809356809
99,Libya,-1.5180796385
100,Liechtenstein,1.8333684206
101,Lithuania,0.3644419611
