,Country,Value
0,Afghanistan,-1.3441206217
1,Albania,-0.0706450567
2,Algeria,-0.5118632317
3,American Samoa,0.4171592891
4,Andorra,1.6782146692
5,Angola,-1.1469130516
6,Anguilla,0.9215814471
7,Antigua and Barbuda,-0.0872628912
8,Argentina,-0.1820030361
9,Armenia,-0.1692734063
10,Aruba,0.8617030382
11,Australia,1.5906357765
12,Austria,1.5681612492
13,Azerbaijan,-0.338886708
14,Bahrain,0.5909157991
15,Bangladesh,-0.7706753612
16,Barbados,1.2298042774
17,Belarus,-0.4958788455
18,Belgium,1.3993018866
19,Belize,-0.6748394966
20,Benin,-0.4989975393
21,Bermuda,0.9215814471
22,Bhutan,0.2703894973
23,Bolivia,-0.5937550068
24,Bosnia and Herzegovina,-0.4662567377
25,Botswana,0.3213196099
26,Brazil,-0.1546151936
27,Brunei Darussalam,1.0819981098
28,Bulgaria,0.0901186243
29,Burkina Faso,-0.5582411289
30,Burundi,-1.0943067074
31,Cabo Verde,-0.0055352622
32,Cambodia,-0.6784079671
33,Cameroon,-0.7413007617
34,Canada,1.7597182989
35,Cayman Islands,1.1566728354
36,Central African Republic,-1.8407648802
37,Chad,-1.4795382023
38,Chile,1.1422920227
39,China,0.3392754197
40,Colombia,-0.108596839
41,Comoros,-1.6659671068
42,Cook Islands,
43,Costa Rica,0.3994913995
44,Cote d'Ivoire,-0.783942461
45,Croatia,0.6935955286
46,Cuba,-0.0580551662
47,Cyprus,1.135823369
48,Czech Republic,1.0230643749
49,Denmark,1.8066464663
50,Djibouti,-0.9697679877
51,Dominica,0.0655158013
52,Dominican Republic,-0.4301758707
53,Ecuador,-0.4989666045
54,El Salvador,-0.0218644645
55,Equatorial Guinea,-1.4478937387
56,Eritrea,-1.6160360575
57,Estonia,1.0465158224
58,Ethiopia,-0.4701004326
59,Fiji,-0.3672360182
60,Finland,2.01603055
61,France,1.4031202793
62,French Guiana,1.089630127
63,Gabon,-0.6640011668
64,Georgia,0.4842691123
65,Germany,1.7317653894
66,Ghana,-0.273304075
67,Greece,0.3954079151
68,Greenland,0.8949865103
69,Grenada,-0.1179769561
70,Guam,0.4171592891
71,Guatemala,-0.7147302032
72,Guinea,-1.2138857841
73,Guinea-Bissau,-1.5515208244
74,Guyana,-0.2245633602
75,Haiti,-2.0308837891
76,Honduras,-0.7951559424
77,Hungary,0.5327975154
78,Iceland,1.4959876537
79,India,-0.2043775022
80,Indonesia,-0.0109395776
81,Iraq,-1.1327241659
82,Ireland,1.6000061035
83,Israel,1.1586030722
84,Italy,0.3763265908
85,Jamaica,0.1371987611
86,Japan,1.8189826012
87,Jordan,0.1346626431
88,Kazakhstan,-0.0152447158
89,Kenya,-0.3039543927
90,Kiribati,-0.5751371384
91,Kosovo,-0.3214682937
92,Kuwait,-0.1476809233
93,Kyrgyz Republic,-0.8362709284
94,Lao PDR,-0.3879878223
95,Latvia,0.9743801951
96,Lebanon,-0.3750530183
97,Lesotho,-0.5126678944
98,Liberia,-1.3712151051
99,Libya,-1.6430726051
100,Liechtenstein,1.6795698404
101,Lithuania,0.994412303
102,Luxembourg,1.6554825306
103,Madagascar,-1.2776832581
104,Malawi,-0.6873859167
105,Malaysia,1.1395637989
106,Maldives,-0.3668058813
107,Mali,-1.1163655519
108,Malta,1.0265414715
109,Marshall Islands,-1.549864769
110,Martinique,0.6693703532
111,Mauritania,-1.0505268574
112,Mauritius,1.1309578419
