Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Cyprus,CYP,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,19.0771363827,20.2184829988,26.4311468122,27.4847125459,23.8285147788,21.8149293415,19.7274660061,25.4372996843,20.0197028921,18.3487300762,18.6585422864,20.3063614194,19.7531215487,18.242520965,18.1744947959,17.988261366,13.8430500689,14.0157192041,11.8030454818,13.347021104,15.522447328,10.4946675883,9.7658401993,9.0935455493,..
Cyprus,CYP,Total reserves (includes gold_ current US$),FI.RES.TOTL.CD,1552478618.5,1180838000,1276350873.04,1640273817.45545,1294935266.01034,1704484150.70796,1525648569.4755,1512684181.81037,1967461069.71329,1868515551.89069,2396061109.10435,3181358047.94032,3450932639.90708,4113824174.51174,4429824674.1273,5942554105.7568,6506542509.056,1004746555.40366,1281245173.70282,1141718167.93094,1187123277.38955,1191085667.55068,916262005.14,893891173.35885,334048765.1106
Czech Republic,CZE,Exports of goods and services (BoP_ current US$),BX.GSR.GNFS.CD,..,..,17658400382.7468,18758845094.5062,24039311346.35,25405339915.2121,24611542736.3828,27923095785.0631,27738216382.3259,29411883353.3123,32890742914.7411,37183424019.0468,46748062490.8959,68194679116.2977,77524973942.7984,93760490306.5089,117592272826.404,150091414328.562,121632947507.139,137029742232.405,162821394258.699,158360841980.789,160978376418.306,171921834166.716,..
Czech Republic,CZE,Current account balance (BoP_ current US$),BN.CAB.XOKA.CD,..,..,466333364.631825,-819875392.269923,-1373523087.20907,-4127553020.16764,-3621726040.44344,-1308286938.64821,-1465751162.91064,-2689755313.83905,-3272573493.81492,-4264835726.29032,-5785485093.44665,-5749351083.53969,-1209609348.95226,-3130375915.75753,-7940202854.46833,-4407952631.4357,-4869768332.55461,-7351204483.70952,-5020059122.20126,-3158497435.6835,-1105890387.14822,1343091137.82126,..
Czech Republic,CZE,Exports of goods_ services and primary income (BoP_ current US$),BX.GSR.TOTL.CD,..,..,18205916735.4869,19549442227.2272,25236347718.8174,26575419514.5722,26016637161.3346,29635776608.7247,29597492470.8174,31363959964.7316,35123790651.867,39234979601.1186,49429315651.269,71599183859.5625,82399912463.2977,100022706327.633,126060563344.341,161117965707.547,128068399261.467,143111241246.008,169946796199.716,166182329014.125,167870114505.165,179190284562.406,..
Czech Republic,CZE,Imports of goods_ services and primary income (BoP_ current US$),BM.GSR.TOTL.CD,..,..,17827187517.4157,20496210649.0603,27181828989.1979,31086945482.1689,30003816827.6764,31460942111.4228,31650918435.2474,34426668512.1653,38866355756.7452,44411876059.6246,55763226714.0593,77584621938.7009,83812649985.9791,102320918074.189,132919720651.872,164833547618.505,131884994197.718,149889637288.739,173954847038.442,167941926240.204,168457417679.559,177367656563.468,..
Czech Republic,CZE,GNI (current US$),NY.GNP.MKTP.CD,..,34254740594.2695,40505168312.0091,47427603376.7587,59099660889.2238,65886418224.9532,60828585489.58,65482974610.6093,63592157180.3802,60346491171.2505,65537771093.9985,78857892518.3117,96002658725.9385,113497303480.961,129840592050.89,145794845014.074,176738445921.641,219942595054.974,191245344384.41,191444159951.409,210079735984.041,193495492274.294,195747972083.953,189167385282.428,..
Czech Republic,CZE,GNI (constant 2005 US$),NY.GNP.MKTP.KD,..,94408882774.1887,94140705412.566,96871302800.7909,102038295433.999,105782979786.507,105110948670.067,104684955890.913,105762916738.594,110230788479.639,112539405775.005,113458765194.694,117730398162.054,121825666551.712,129840592050.89,136585034574.012,143574303230.764,147416681419.576,139333063382.822,141915547079.029,144736980533.453,145480718489.079,144983945501.248,144872811188.776,..
Czech Republic,CZE,GNI per capita (constant 2005 US$),NY.GNP.PCAP.KD,..,9148.9250369618,9113.4585541197,9374.4120798316,9880.4876218293,10255.0177728767,10200.8552366102,10169.14346225,10284.359835567,10748.9138272129,11015.3427459518,11126.7725648317,11548.9916872707,11947.0883491016,12715.4877588419,13339.8087563086,13940.8390188441,14195.6973626797,13341.0491392155,13548.7867172499,13789.6119519437,13841.0897463014,13789.2519331104,13764.1838495943,..
Czech Republic,CZE,Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,..,..,27.9029279617,28.9900299431,31.2111705211,30.4610020941,27.8739064593,29.9196620179,28.4730430713,28.95090155,29.126754718,27.530596793,26.0589854571,27.0402051992,28.435549271,27.9372432719,29.4963161161,28.3398537734,24.5774203227,24.302559725,24.8364287726,25.8751346908,25.8284585666,25.9252284987,..
