,Country,Value
0,Afghanistan,-1.4281387329
1,Albania,-0.3331880271
2,Algeria,-0.5649204254
3,American Samoa,0.4813597798
4,Andorra,1.5268645287
5,Angola,-1.2403390408
6,Anguilla,1.5268645287
7,Antigua and Barbuda,0.4813597798
8,Argentina,-0.289783597
9,Armenia,0.0656641126
10,Aruba,1.2055333853
11,Australia,1.6242749691
12,Austria,1.5660532713
13,Azerbaijan,-0.4547355175
14,Bahrain,0.584076941
15,Bangladesh,-0.8193235993
16,Barbados,1.3448206186
17,Belarus,-0.9427223206
18,Belgium,1.58981359
19,Belize,-0.1848865896
20,Benin,-0.5411015153
21,Bermuda,1.0041121244
22,Bhutan,0.3588402867
23,Bolivia,-0.3976168633
24,Bosnia and Herzegovina,-0.4523674846
25,Botswana,0.3682777584
26,Brazil,-0.0787747204
27,Brunei Darussalam,0.8584578633
28,Bulgaria,0.153200075
29,Burkina Faso,-0.6808619499
30,Burundi,-1.0300875902
31,Cabo Verde,0.0580655523
32,Cambodia,-0.9219079018
33,Cameroon,-0.90997684
34,Canada,1.7709419727
35,Cayman Islands,1.2055333853
36,Central African Republic,-1.6502410173
37,Chad,-1.4247399569
38,Chile,1.2448049784
39,China,-0.0290193968
40,Colombia,0.0427801795
41,Comoros,-1.5690310001
42,Cook Islands,
43,Costa Rica,0.4702270031
44,Cote d'Ivoire,-0.9792582393
45,Croatia,0.6891182661
46,Cuba,-0.4397334158
47,Cyprus,1.3508148193
48,Czech Republic,0.8761951327
49,Denmark,1.9706037045
50,Djibouti,-1.0273908377
51,Dominica,0.711593926
52,Dominican Republic,-0.4915317297
53,Ecuador,-0.4858555496
54,El Salvador,-0.130546242
55,Equatorial Guinea,-1.5856434107
56,Eritrea,-1.5948877335
57,Estonia,0.9838860631
58,Ethiopia,-0.5656950474
59,Fiji,-0.9568796158
60,Finland,2.1675205231
61,France,1.4692585468
62,French Guiana,1.0682169199
63,Gabon,-0.7018790841
64,Georgia,0.5325621963
65,Germany,1.518111825
66,Ghana,-0.1344131976
67,Greece,0.4490604699
68,Greenland,0.9061525464
69,Grenada,0.2695963979
70,Guam,-0.0413926169
