,Country,Value
0,Afghanistan,-1.4445164204
1,Albania,-0.805980444
2,Algeria,-0.4860242903
3,American Samoa,0.3259213269
4,Andorra,1.2747476101
5,Angola,-1.2277778387
6,Anguilla,1.2747476101
7,Antigua and Barbuda,1.2747476101
8,Argentina,-0.3973786831
9,Armenia,-0.5862441659
10,Aruba,1.2747476101
11,Australia,1.9914445877
12,Austria,1.9911366701
13,Azerbaijan,-0.9896309376
14,Bahrain,0.2438113093
15,Bangladesh,-1.4229698181
16,Barbados,1.2613115311
17,Belarus,-0.6279056668
18,Belgium,1.2498129606
19,Belize,-0.3872741759
20,Benin,-0.6167380214
21,Bermuda,1.2747476101
22,Bhutan,0.6581915021
23,Bolivia,-0.3942656219
24,Bosnia and Herzegovina,-0.2933839262
25,Botswana,0.8955470324
26,Brazil,-0.1375596821
27,Brunei Darussalam,0.2286131531
28,Bulgaria,-0.1008684784
29,Burkina Faso,-0.3292262554
30,Burundi,-1.0656739473
31,Cabo Verde,0.6335704327
32,Cambodia,-1.2254542112
33,Cameroon,-1.0266473293
34,Canada,1.9563453197
35,Cayman Islands,1.2747476101
36,Central African Republic,-0.9970751405
37,Chad,-1.2675257921
38,Chile,1.4184336662
39,China,-0.5096034408
40,Colombia,-0.1027149707
41,Comoros,-0.6433876157
42,Cook Islands,0.6392384768
43,Costa Rica,0.322114259
44,Cote d'Ivoire,-1.1821161509
45,Croatia,0.0856358036
46,Cuba,0.2126323283
47,Cyprus,1.0916867256
48,Czech Republic,0.3048130274
49,Denmark,2.5490350723
50,Djibouti,-0.6175943017
51,Dominica,0.6575046182
52,Dominican Republic,-0.6262280345
53,Ecuador,-0.8041095138
54,El Salvador,-0.1861540526
55,Equatorial Guinea,-1.5336128473
56,Eritrea,-0.2490997761
57,Estonia,0.9607390165
58,Ethiopia,-0.6226320863
59,Fiji,-0.2679864764
60,Finland,2.5526916981
61,France,1.4557248354
62,French Guiana,0.8003344536
63,Gabon,-0.9620124698
64,Georgia,-0.0437633321
65,Germany,1.7850105762
66,Ghana,-0.019105712
67,Greece,0.3519261777
68,Greenland,
69,Grenada,0.5668215156
70,Guam,0.8003344536
71,Guatemala,-0.7400451303
72,Guinea,-1.0435072184
73,Guinea-Bissau,-0.9846202135
74,Guyana,-0.6195090413
75,Haiti,-1.3158026934
76,Honduras,-0.7467019558
77,Hungary,0.6085270643
78,Iceland,2.2478404045
79,India,-0.2966766059
80,Indonesia,-0.8104717731
81,Iraq,-1.5642294884
82,Ireland,1.7135252953
83,Israel,1.0009454489
84,Italy,0.4591314495
85,Jamaica,-0.3968105614
86,Japan,1.3170241117
87,Jordan,0.2975865901
88,Kazakhstan,-0.9007297158
89,Kenya,-0.8679071665
90,Kiribati,0.0778814331
91,Kosovo,-0.4208700955
92,Kuwait,0.5431010127
93,Kyrgyz Republic,-1.2613129616
94,Lao PDR,-1.3154697418
95,Latvia,0.2933164835
96,Lebanon,-0.9378020763
97,Lesotho,-0.0525541641
98,Liberia,-0.4739823043
