,Country,Value
0,Afghanistan,-1.4655714035
1,Albania,-0.2714275122
2,Algeria,-0.4764436483
3,American Samoa,0.4868116081
4,Andorra,1.5125703812
5,Angola,-1.1282964945
6,Anguilla,1.5125703812
7,Antigua and Barbuda,0.4868116081
8,Argentina,-0.190137431
9,Armenia,-0.1664865613
10,Aruba,1.2285788059
11,Australia,1.7699273825
12,Austria,1.8381406069
13,Azerbaijan,-0.7939463854
14,Bahrain,0.4839480519
15,Bangladesh,-0.746635735
16,Barbados,1.4134511948
17,Belarus,-1.1352651119
18,Belgium,1.5815514326
19,Belize,-0.4396821558
20,Benin,-0.5782274008
21,Bermuda,0.9996909499
22,Bhutan,0.5677039623
23,Bolivia,-0.5030620694
24,Bosnia and Herzegovina,-0.7260907888
25,Botswana,0.4635652304
26,Brazil,-0.0393811278
27,Brunei Darussalam,0.8992627263
28,Bulgaria,0.1104217619
29,Burkina Faso,-0.560765028
30,Burundi,-1.1004065275
31,Cabo Verde,-0.0207794905
32,Cambodia,-0.9242123961
33,Cameroon,-0.8750547171
34,Canada,1.7882252932
35,Cayman Islands,1.2285788059
36,Central African Republic,-1.390273571
37,Chad,-1.4454475641
38,Chile,1.2611789703
39,China,0.1021213979
40,Colombia,-0.0428464375
41,Comoros,-1.7406493425
42,Cook Islands,-1.0106174946
43,Costa Rica,0.314152956
44,Cote d'Ivoire,-1.2602875233
45,Croatia,0.6292160749
46,Cuba,-0.392010659
47,Cyprus,1.5288684368
48,Czech Republic,0.9132207632
49,Denmark,2.0936598778
50,Djibouti,-0.9892272353
51,Dominica,0.650599122
52,Dominican Republic,-0.6614285111
53,Ecuador,-0.7169513106
54,El Salvador,0.0024754463
55,Equatorial Guinea,-1.6885297298
56,Eritrea,-1.3698941469
57,Estonia,1.112855196
58,Ethiopia,-0.415905863
59,Fiji,-0.7270969152
60,Finland,2.2452116013
61,France,1.4474401474
62,French Guiana,1.1792559624
63,Gabon,-0.7833404541
64,Georgia,0.2924773395
65,Germany,1.5659327507
66,Ghana,-0.0392845981
67,Greece,0.5479233861
68,Greenland,0.9774652719
69,Grenada,0.1723512411
70,Guam,-0.0260677822
71,Guatemala,-0.6987481713
72,Guinea,-1.1309276819
73,Guinea-Bissau,-1.0364900827
74,Guyana,-0.1173619702
75,Haiti,-1.6314378977
76,Honduras,-0.6403038502
77,Hungary,0.6655406952
78,Iceland,1.5928989649
79,India,0.0169612076
80,Indonesia,-0.1974721551
81,Iraq,-1.2208051682
82,Ireland,1.3363370895
83,Israel,1.3679240942
84,Italy,0.4462603033
85,Jamaica,0.1968695223
86,Japan,1.5222183466
87,Jordan,0.1317833066
88,Kazakhstan,-0.425547421
89,Kenya,-0.5428418517
90,Kiribati,-0.850215435
91,Kosovo,-0.6114552617
92,Kuwait,0.1786713898
93,Kyrgyz Republic,-0.6348236799
94,Lao PDR,-0.8730940819
95,Latvia,0.7201096416
96,Lebanon,-0.2760229707
97,Lesotho,-0.3154894412
98,Liberia,-1.2697161436
99,Libya,-1.1007795334
100,Liechtenstein,1.7611038685
101,Lithuania,0.7581210136
102,Luxembourg,1.7103219032
103,Madagascar,-0.946582973
104,Malawi,-0.4204137325
105,Malaysia,1.1289255619
106,Maldives,-0.2125017196
107,Mali,-0.8399364352
108,Malta,1.1968619823
109,Marshall Islands,-1.2810364962
110,Martinique,0.7432512641
111,Mauritania,-0.9629297853
112,Mauritius,0.8483137488
113,Mexico,0.1442436874
114,Moldova,-0.6418543458
115,Monaco,
116,Mongolia,-0.5723255873
117,Montenegro,0.0898017213
118,Morocco,-0.0905928612
119,Mozambique,-0.573517859
120,Myanmar,-1.6515842676
121,Namibia,0.1103805527
122,Nauru,-0.5736612082
123,Nepal,-0.8606199026
124,Netherlands,1.728120923
125,Netherlands Antilles,0.7432512641
126,New Caledonia,
127,New Zealand,1.8078824282
128,Nicaragua,-0.9585725665
129,Niger,-0.6656486988
130,Nigeria,-1.1511203051
131,Niue,-1.0106174946
132,Norway,1.8625810146
133,Oman,0.4164360166
134,Pakistan,-0.7592706084
135,Palau,-0.8626380563
136,Panama,0.1322316974
137,Papua New Guinea,-0.7380411625
138,Paraguay,-0.9368197918
139,Peru,-0.2031367272
140,Philippines,-0.0175709892
141,Poland,0.6371619701
142,Portugal,1.0217183828
143,Puerto Rico,0.3370766938
144,Qatar,0.8911757469
145,Reunion,0.9996909499
146,Romania,-0.2508709431
147,Russian Federation,-0.4484022856
148,Rwanda,-0.0472604185
149,Samoa,-0.0457809493
150,San Marino,
151,Sao Tome and Principe,-0.8075167537
152,Saudi Arabia,0.0313610993
153,Senegal,-0.557570219
154,Serbia,-0.0523623861
155,Seychelles,0.1815285087
156,Sierra Leone,-1.2099461555
157,Singapore,2.2554316521
158,Slovak Republic,0.8299499154
159,Slovenia,1.0329178572
160,Solomon Islands,-0.949764967
161,Somalia,-2.2386689186
162,South Africa,0.3926810324
163,South Sudan,
164,Spain,0.9894321561
165,Sri Lanka,-0.1833546311
166,St. Kitts and Nevis,0.7153398991
167,St. Lucia,0.8055013418
168,St. Vincent and the Grenadines,0.7153398991
169,Sudan,-1.3672014475
170,Suriname,-0.0887051821
171,Swaziland,-0.5177149773
172,Sweden,2.0073316097
173,Switzerland,1.8869262934
174,Syrian Arab Republic,-0.6029238701
175,Tajikistan,-0.8958778381
176,Tanzania,-0.5778156519
177,Thailand,0.1940281093
178,Timor-Leste,-1.2133971453
179,Togo,-1.3844715357
180,Tonga,-0.3183989525
181,Trinidad and Tobago,0.2652316689
182,Tunisia,0.2381282449
183,Turkey,0.3080002069
184,Turkmenistan,-1.5789022446
185,Tuvalu,-0.4952442348
186,Uganda,-0.5203159451
187,Ukraine,-0.7467331886
188,United Arab Emirates,0.9076606631
189,United Kingdom,1.5597883463
190,United States,1.5494080782
191,Uruguay,0.6362628341
192,Uzbekistan,-0.7412836552
193,Vanuatu,-0.2780347466
194,Vietnam,-0.2625494599
195,Virgin Islands (U.S.),1.2561306953
196,West Bank and Gaza,-0.4205263853
197,Zambia,-0.8300148249
198,Zimbabwe,-1.4952002764
