,Country,Value
0,Afghanistan,-1.2269781828
1,Albania,-0.6272557378
2,Algeria,-0.4373656213
3,American Samoa,0.1936182827
4,Andorra,1.252319932
5,Angola,-1.1688443422
6,Anguilla,1.5169953108
7,Antigua and Barbuda,0.4149994254
8,Argentina,-0.0882894024
9,Armenia,-0.134651795
10,Aruba,1.252319932
11,Australia,1.7656513453
12,Austria,1.7203018665
13,Azerbaijan,-0.6806491017
14,Bahrain,0.404122442
15,Bangladesh,-0.8649089932
16,Barbados,1.2609478235
17,Belarus,-1.1002432108
18,Belgium,1.7368645668
19,Belize,-0.1526099294
20,Benin,-0.6248113513
21,Bermuda,0.9876445532
22,Bhutan,0.2803910077
23,Bolivia,-0.6801583767
24,Bosnia and Herzegovina,-0.7172718644
25,Botswana,0.658906579
26,Brazil,-0.0993329212
27,Brunei Darussalam,0.5796033144
28,Bulgaria,0.1934914291
29,Burkina Faso,-0.5955012441
30,Burundi,-1.2600761652
31,Cabo Verde,-0.2266479731
32,Cambodia,-0.9652882814
33,Cameroon,-0.8805490732
34,Canada,1.9086954594
35,Cayman Islands,1.252319932
36,Central African Republic,-1.5958877802
37,Chad,-1.349031806
38,Chile,1.2164701223
39,China,-0.0921180993
40,Colombia,-0.1627649069
41,Comoros,-1.6377222538
42,Cook Islands,0.7976375222
43,Costa Rica,0.14825432
44,Cote d'Ivoire,-1.3393807411
45,Croatia,0.4792891741
46,Cuba,-0.5446518064
47,Cyprus,1.1820620298
48,Czech Republic,0.9662020206
49,Denmark,2.1406219006
50,Djibouti,-0.8233172894
51,Dominica,0.4292445779
52,Dominican Republic,-0.5521543026
53,Ecuador,-0.9168297052
54,El Salvador,-0.3216608167
55,Equatorial Guinea,-1.45484519
56,Eritrea,-0.9730851054
57,Estonia,0.991717577
58,Ethiopia,-0.8845719695
59,Fiji,-0.1145613343
60,Finland,2.1577553749
61,France,1.7067140341
62,French Guiana,0.7229691148
63,Gabon,-0.8392412066
64,Georgia,-0.4243580103
65,Germany,1.5434060097
66,Ghana,-0.1551745087
67,Greece,0.7189404964
68,Greenland,
69,Grenada,0.2785111964
70,Guam,0.1936182827
71,Guatemala,-0.6974744201
72,Guinea,-1.0584098101
73,Guinea-Bissau,-1.3807470798
74,Guyana,-0.4843244255
75,Haiti,-1.375743866
76,Honduras,-0.6400895119
77,Hungary,0.7951198816
78,Iceland,1.994874835
79,India,-0.0840371847
80,Indonesia,-0.4425793588
81,Iraq,-1.6581134796
82,Ireland,1.733453393
83,Israel,1.0830856562
84,Italy,0.5770655274
85,Jamaica,-0.0842691883
86,Japan,1.3453401327
87,Jordan,0.0747611374
88,Kazakhstan,-0.5522674918
89,Kenya,-0.6676753163
90,Kiribati,-0.5218572021
91,Kosovo,
92,Kuwait,0.2263368368
93,Kyrgyz Republic,-0.8302792311
94,Lao PDR,-1.2218872309
95,Latvia,0.5893720984
96,Lebanon,-0.2103758752
97,Lesotho,-0.1671592295
98,Liberia,-1.365624547
99,Libya,-1.0634276867
100,Liechtenstein,1.5169953108
101,Lithuania,0.7877524495
102,Luxembourg,1.7761881351
103,Madagascar,-0.3706558347
104,Malawi,-0.7997322083
105,Malaysia,1.1346930265
106,Maldives,0.1621752083
107,Mali,-0.6887739897
108,Malta,0.8170105815
109,Marshall Islands,-1.0003242493
110,Martinique,0.7229691148
111,Mauritania,-0.3323595226
112,Mauritius,0.618401885
113,Mexico,0.0789562315
114,Moldova,-0.726508975
115,Monaco,
116,Mongolia,-0.3645935655
117,Montenegro,0.3591988683
118,Morocco,-0.259355247
119,Mozambique,-0.5207878351
120,Myanmar,-1.5458667278
121,Namibia,0.0361153185
122,Nauru,
123,Nepal,-0.8401901126
124,Netherlands,1.9490913153
125,Netherlands Antilles,0.9876445532
126,New Caledonia,
127,New Zealand,1.7417302132
128,Nicaragua,-0.7953233719
129,Niger,-0.7886140347
130,Nigeria,-0.8832923174
131,Niue,
132,Norway,1.8549741507
133,Oman,0.3020521104
134,Pakistan,-0.4199524224
135,Palau,
136,Panama,0.0621938817
137,Papua New Guinea,-0.880485177
138,Paraguay,-0.7874020338
139,Peru,-0.600442946
140,Philippines,-0.0603334829
141,Poland,0.4809885323
142,Portugal,1.0635945797
143,Puerto Rico,0.9876445532
144,Qatar,0.4235278666
145,Reunion,0.9876445532
146,Romania,-0.273589313
147,Russian Federation,-0.4593591392
148,Rwanda,-0.8927881718
149,Samoa,0.4541767836
150,San Marino,
151,Sao Tome and Principe,-0.7126918435
152,Saudi Arabia,-0.3920267224
153,Senegal,-0.2463968396
154,Serbia,-0.3111881614
155,Seychelles,0.097938031
156,Sierra Leone,-1.3576071262
157,Singapore,1.996065855
158,Slovak Republic,0.9378703833
159,Slovenia,0.9194161892
160,Solomon Islands,-0.7309033871
161,Somalia,-2.1727514267
162,South Africa,0.6446221471
163,South Sudan,
164,Spain,1.4886339903
165,Sri Lanka,-0.2876782715
166,St. Kitts and Nevis,0.8729969859
167,St. Lucia,0.9204254746
168,St. Vincent and the Grenadines,0.8729969859
169,Sudan,-1.4006593227
170,Suriname,-0.0865324214
171,Swaziland,-1.0899266005
172,Sweden,1.8895062208
173,Switzerland,1.8878985643
174,Syrian Arab Republic,-1.1595549583
175,Tajikistan,-1.0625549555
176,Tanzania,-0.3873664439
177,Thailand,0.4291608334
178,Timor-Leste,-0.9664592147
179,Togo,-1.4976593256
180,Tonga,-0.5926969051
181,Trinidad and Tobago,0.1868970543
182,Tunisia,0.4219156504
183,Turkey,0.1627240032
184,Turkmenistan,-1.6241179705
185,Tuvalu,-0.0735301003
186,Uganda,-0.5384580493
187,Ukraine,-0.5838220119
188,United Arab Emirates,0.7542259693
189,United Kingdom,1.7470566034
190,United States,1.5730119944
191,Uruguay,0.5051154494
192,Uzbekistan,-1.1991685629
193,Vanuatu,-0.3548006117
194,Vietnam,-0.200886935
195,Virgin Islands (U.S.),1.252319932
196,West Bank and Gaza,-1.0860249996
197,Zambia,-0.9361006618
198,Zimbabwe,-1.2853133678
