,Country,Value
0,Afghanistan,-1.4994659424
1,Albania,-0.2389934361
2,Algeria,-0.5782845616
3,American Samoa,0.4863056839
4,Andorra,1.5215497017
5,Angola,-0.9745876193
6,Anguilla,1.5215497017
7,Antigua and Barbuda,0.4863056839
8,Argentina,-0.3260052204
9,Armenia,-0.0217740964
10,Aruba,1.4704530239
11,Australia,1.6981726885
12,Austria,1.6736235619
13,Azerbaijan,-0.6299524307
14,Bahrain,0.4961031973
15,Bangladesh,-0.7869006991
16,Barbados,1.5051937103
17,Belarus,-1.1492737532
18,Belgium,1.5870964527
19,Belize,-0.4726605415
20,Benin,-0.5561426282
21,Bermuda,1.0039277077
22,Bhutan,0.4803220332
23,Bolivia,-0.5928143263
24,Bosnia and Herzegovina,-0.6971420646
25,Botswana,0.4829932749
26,Brazil,-0.0956505537
27,Brunei Darussalam,0.9411171675
28,Bulgaria,0.161330834
29,Burkina Faso,-0.5829566121
30,Burundi,-1.0294101238
31,Cabo Verde,0.0351154841
32,Cambodia,-0.9102455974
33,Cameroon,-0.8185738921
34,Canada,1.7523437738
35,Cayman Islands,1.2400143147
36,Central African Republic,-1.4225785732
37,Chad,-1.4231169224
38,Chile,1.2306654453
39,China,0.1134911552
40,Colombia,-0.228940174
41,Comoros,-1.7737599611
42,Cook Islands,-0.980573535
43,Costa Rica,0.3287033439
44,Cote d'Ivoire,-1.081444025
45,Croatia,0.6128921509
46,Cuba,-0.3869073987
47,Cyprus,1.4305818081
48,Czech Republic,0.8905097842
49,Denmark,2.2292788029
50,Djibouti,-0.9085419774
51,Dominica,0.608264029
52,Dominican Republic,-0.6104328036
53,Ecuador,-0.7777221799
54,El Salvador,-0.0189458076
55,Equatorial Guinea,-1.7222470045
56,Eritrea,-1.3835629225
57,Estonia,1.0264751911
58,Ethiopia,-0.4858601987
59,Fiji,-0.9087567925
60,Finland,2.2379028797
61,France,1.4931977987
62,French Guiana,1.1656756401
63,Gabon,-0.7543981671
64,Georgia,0.277762711
65,Germany,1.5867574215
66,Ghana,-0.0378100276
67,Greece,0.6146594882
68,Greenland,0.986985445
69,Grenada,0.2038471699
70,Guam,-0.0313163102
71,Guatemala,-0.6938183308
72,Guinea,-1.0314767361
73,Guinea-Bissau,-1.0304288864
74,Guyana,-0.1690689623
75,Haiti,-1.507424593
76,Honduras,-0.6662774086
77,Hungary,0.6768618226
78,Iceland,1.6547380686
79,India,-0.0052090255
80,Indonesia,-0.2765682042
81,Iraq,-1.2020230293
82,Ireland,1.3375402689
83,Israel,1.2601152658
84,Italy,0.4246122837
85,Jamaica,0.209372282
86,Japan,1.4609647989
87,Jordan,0.2810308337
88,Kazakhstan,-0.3618054986
89,Kenya,-0.6028342247
90,Kiribati,-0.7955508232
91,Kosovo,-0.4223328531
92,Kuwait,0.2136727124
93,Kyrgyz Republic,-0.9501590133
94,Lao PDR,-0.9567790627
95,Latvia,0.6328394413
96,Lebanon,-0.4866955578
97,Lesotho,-0.2895481288
98,Liberia,-1.2388153076
99,Libya,-1.0770646334
100,Liechtenstein,1.7752304077
101,Lithuania,0.7026825547
102,Luxembourg,1.7454439402
103,Madagascar,-0.78264606
104,Malawi,-0.4657814205
105,Malaysia,0.995223403
106,Maldives,-0.4534166455
107,Mali,-0.7896736264
108,Malta,1.1685818434
109,Marshall Islands,-1.3970059156
110,Martinique,0.7451167107
111,Mauritania,-0.8825936317
112,Mauritius,0.7623692155
113,Mexico,0.1632934064
114,Moldova,-0.5719050765
115,Monaco,
116,Mongolia,-0.6582975388
117,Montenegro,-0.0023257949
118,Morocco,-0.1314648986
119,Mozambique,-0.5438292623
120,Myanmar,-1.6381343603
121,Namibia,0.1306594312
122,Nauru,-0.4291640818
123,Nepal,-0.9369090796
124,Netherlands,1.7442498207
125,Netherlands Antilles,0.7451167107
126,New Caledonia,
127,New Zealand,1.8475948572
