,Country,Value
0,Afghanistan,-1.6371687651
1,Albania,-0.5454194546
2,Algeria,-0.5617622733
3,American Samoa,0.3556349576
4,Andorra,1.3197852373
5,Angola,-1.2832690477
6,Anguilla,1.3197852373
7,Antigua and Barbuda,1.3197852373
8,Argentina,-0.4737094641
9,Armenia,-0.6345724463
10,Aruba,1.3197852373
11,Australia,2.0717480183
12,Austria,1.9180791378
13,Azerbaijan,-1.0413134098
14,Bahrain,0.2481093705
15,Bangladesh,-1.0160689354
16,Barbados,1.3092315197
17,Belarus,-0.6377607584
18,Belgium,1.3187075853
19,Belize,-0.3367383182
20,Benin,-0.5312696695
21,Bermuda,1.3197852373
22,Bhutan,0.7658264041
23,Bolivia,-0.4953750372
24,Bosnia and Herzegovina,-0.3554935753
25,Botswana,0.9877536297
26,Brazil,-0.0204633661
27,Brunei Darussalam,0.5388743877
28,Bulgaria,-0.3036518395
29,Burkina Faso,-0.3281346858
30,Burundi,-1.0158004761
31,Cabo Verde,0.7770432234
32,Cambodia,-1.199373126
33,Cameroon,-0.9437112808
34,Canada,1.9898331165
35,Cayman Islands,0.8377100825
36,Central African Republic,-0.977801621
37,Chad,-1.4467138052
38,Chile,1.3247052431
39,China,-0.5421067476
40,Colombia,-0.222202763
41,Comoros,-0.7552758455
42,Cook Islands,
43,Costa Rica,0.4366751909
44,Cote d'Ivoire,-1.0876957178
45,Croatia,-0.0438489541
46,Cuba,0.2798544168
47,Cyprus,1.2412638664
48,Czech Republic,0.2700222135
49,Denmark,2.4702279568
50,Djibouti,-0.1929406077
51,Dominica,0.6941796541
52,Dominican Republic,-0.6711363792
53,Ecuador,-0.7897625566
54,El Salvador,-0.2979001403
55,Equatorial Guinea,-1.5083383322
56,Eritrea,-0.3202558458
57,Estonia,0.8695835471
58,Ethiopia,-0.663394928
59,Fiji,-0.3868241906
60,Finland,2.4113054276
61,France,1.3784497976
62,French Guiana,0.8377100825
63,Gabon,-1.0205216408
64,Georgia,-0.223598361
65,Germany,1.7325412035
66,Ghana,-0.0440878309
67,Greece,0.0989994705
68,Greenland,
69,Grenada,0.3882830143
70,Guam,0.8377100825
71,Guatemala,-0.615245223
72,Guinea,-1.1548913717
73,Guinea-Bissau,-1.0859460831
74,Guyana,-0.5282188058
75,Haiti,-1.2138897181
76,Honduras,-0.8423426747
77,Hungary,0.3842208087
78,Iceland,2.4410028458
79,India,-0.3612883091
80,Indonesia,-0.5627472401
81,Iraq,-1.5708788633
82,Ireland,1.758210063
83,Israel,0.8384538889
84,Italy,0.2498198301
85,Jamaica,-0.4862839878
86,Japan,1.3084651232
87,Jordan,0.4059140682
88,Kazakhstan,-0.9039441347
89,Kenya,-1.0267505646
90,Kiribati,-0.0016722032
91,Kosovo,-0.5907934904
92,Kuwait,0.5384553075
93,Kyrgyz Republic,-1.1211357117
94,Lao PDR,-1.2124289274
95,Latvia,0.1298477054
96,Lebanon,-0.8430279493
97,Lesotho,0.0314142816
98,Liberia,-0.7003974319
99,Libya,-0.8604195118
100,Liechtenstein,1.2144263983
101,Lithuania,0.0361698866
102,Luxembourg,2.0161824226
103,Madagascar,-0.1597101241
