,Country,Value
0,Afghanistan,-1.5132791996
1,Albania,-0.4932783246
2,Algeria,-0.5465089679
3,American Samoa,0.3821013868
4,Andorra,1.3451367617
5,Angola,-1.4175860882
6,Anguilla,1.3451367617
7,Antigua and Barbuda,1.3451367617
8,Argentina,-0.5036001801
9,Armenia,-0.5563543439
10,Aruba,1.1145036221
11,Australia,2.0783314705
12,Austria,1.7640095949
13,Azerbaijan,-1.1100440025
14,Bahrain,0.2415089756
15,Bangladesh,-1.0272481441
16,Barbados,1.3341261148
17,Belarus,-0.6409541368
18,Belgium,1.4279661179
19,Belize,-0.0406341404
20,Benin,-0.6727116108
21,Bermuda,1.3451367617
22,Bhutan,0.8103639483
23,Bolivia,-0.6312029958
24,Bosnia and Herzegovina,-0.3724402785
25,Botswana,0.9195151925
26,Brazil,-0.1167837456
27,Brunei Darussalam,1.0202091932
28,Bulgaria,-0.2471227944
29,Burkina Faso,-0.3810772896
30,Burundi,-1.0675523281
31,Cabo Verde,0.770491004
32,Cambodia,-1.1589940786
33,Cameroon,-0.9223456383
34,Canada,2.0833239555
35,Cayman Islands,1.1145036221
36,Central African Republic,-0.9074397683
37,Chad,-1.3555364609
38,Chile,1.350279808
39,China,-0.5433449745
40,Colombia,-0.3054511249
41,Comoros,-0.7839913368
42,Cook Islands,-0.5671699047
43,Costa Rica,0.7057902217
44,Cote d'Ivoire,-1.0819079876
45,Croatia,-0.100288339
46,Cuba,0.3541419804
47,Cyprus,0.9328679442
48,Czech Republic,0.3282266259
49,Denmark,2.5193676949
50,Djibouti,-0.2905330658
51,Dominica,0.7431211472
52,Dominican Republic,-0.7230680585
53,Ecuador,-0.8868925571
54,El Salvador,-0.1957092285
55,Equatorial Guinea,-1.5033918619
56,Eritrea,-0.4287187457
57,Estonia,0.9123663902
58,Ethiopia,-0.7181178927
59,Fiji,-0.7396603823
60,Finland,2.3030128479
61,France,1.4174041748
62,French Guiana,1.1145036221
63,Gabon,-0.9416733384
64,Georgia,-0.2242225409
65,Germany,1.7230968475
66,Ghana,0.0313423425
67,Greece,0.0077841291
68,Greenland,1.1715080738
69,Grenada,0.354455173
70,Guam,0.8636190891
71,Guatemala,-0.4781287313
72,Guinea,-1.0470559597
73,Guinea-Bissau,-1.1044192314
74,Guyana,-0.541827023
75,Haiti,-1.1001672745
76,Honduras,-0.8688748479
77,Hungary,0.3412201405
78,Iceland,2.0569424629
79,India,-0.4773709774
80,Indonesia,-0.8158257008
81,Iraq,-1.3922886848
82,Ireland,1.7683807611
83,Israel,0.7495756149
84,Italy,0.1251719147
85,Jamaica,-0.4363029301
86,Japan,1.3718732595
87,Jordan,0.220111832
88,Kazakhstan,-0.8840435743
89,Kenya,-1.0819967985
90,Kiribati,-0.133672446
91,Kosovo,-0.5612424612
92,Kuwait,0.4150271118
93,Kyrgyz Republic,-1.230568409
94,Lao PDR,-1.2610820532
95,Latvia,0.1266551912
96,Lebanon,-0.8274301887
97,Lesotho,0.1598934531
98,Liberia,-0.5627105236
99,Libya,-1.1668213606
100,Liechtenstein,1.6849656105
101,Lithuania,0.121258378
102,Luxembourg,1.9853389263
103,Madagascar,-0.1924146861
104,Malawi,-0.3824303746
105,Malaysia,-0.0311586466
106,Maldives,-0.6813964844
107,Mali,-0.6356813312
108,Malta,0.8343579769
109,Marshall Islands,-0.3456762135
110,Martinique,0.8636190891
111,Mauritania,-0.5560612679
112,Mauritius,0.6297062635
113,Mexico,-0.3010740578
114,Moldova,-0.6646021605
115,Monaco,
116,Mongolia,-0.7553092241
117,Montenegro,-0.1637153029
118,Morocco,-0.3091093004
119,Mozambique,-0.4210197628
120,Myanmar,-1.6680833101
121,Namibia,0.2485821694
122,Nauru,-0.3510277569
123,Nepal,-0.6517906785
124,Netherlands,2.1664578915
125,Netherlands Antilles,0.8636190891
126,New Caledonia,
127,New Zealand,2.4622020721
128,Nicaragua,-0.7308377624
129,Niger,-0.6085837483
130,Nigeria,-0.9764689207
131,Niue,-0.5671699047
132,Norway,1.9959253073
133,Oman,0.2879597545
134,Pakistan,-1.044264555
135,Palau,-0.3510277569
136,Panama,-0.318169862
137,Papua New Guinea,-1.3494294882
138,Paraguay,-0.8290727735
139,Peru,-0.3421613574
140,Philippines,-0.7717154026
141,Poland,0.3701248467
142,Portugal,1.0386799574
143,Puerto Rico,0.5191298723
144,Qatar,1.7228492498
