,Country,Value
0,Afghanistan,-1.4642574787
1,Albania,-0.7466643453
2,Algeria,-0.4221751988
3,American Samoa,0.7969825864
4,Andorra,1.2721831799
5,Angola,-1.3316549063
6,Anguilla,1.2721831799
7,Antigua and Barbuda,0.7657669187
8,Argentina,-0.4308432937
9,Armenia,-0.6342810392
10,Aruba,1.2721831799
11,Australia,1.9742008448
12,Austria,1.9553824663
13,Azerbaijan,-0.989110589
14,Bahrain,0.46535936
15,Bangladesh,-1.412445426
16,Barbados,1.3067971468
17,Belarus,-0.8723141551
18,Belgium,1.3445445299
19,Belize,-0.2653797865
20,Benin,-0.9709424973
21,Bermuda,1.2721831799
22,Bhutan,0.7478623986
23,Bolivia,-0.7623893619
24,Bosnia and Herzegovina,-0.1988758147
25,Botswana,1.1412668228
26,Brazil,-0.1699801087
27,Brunei Darussalam,0.2646064162
28,Bulgaria,0.0584328882
29,Burkina Faso,-0.090967983
30,Burundi,-0.8996869922
31,Cabo Verde,0.3439254761
32,Cambodia,-1.1790077686
33,Cameroon,-1.1607176065
34,Canada,1.8624578714
35,Cayman Islands,1.2721831799
36,Central African Republic,-1.2073233128
37,Chad,-1.4305106401
38,Chile,1.45337677
39,China,-0.636326015
40,Colombia,-0.117230393
41,Comoros,-0.8250741959
42,Cook Islands,0.6016160846
43,Costa Rica,0.3861672282
44,Cote d'Ivoire,-1.2396150827
45,Croatia,0.1406029463
46,Cuba,0.3062007427
47,Cyprus,0.8922328353
48,Czech Republic,0.4635916948
49,Denmark,2.306984663
50,Djibouti,-0.6815551519
51,Dominica,0.6996759176
52,Dominican Republic,-0.5900052786
53,Ecuador,-0.7497446537
54,El Salvador,-0.4156670868
55,Equatorial Guinea,-1.6071763039
56,Eritrea,-0.2074315846
57,Estonia,0.9728158116
58,Ethiopia,-0.7691323161
59,Fiji,-0.6111358404
60,Finland,2.3496003151
61,France,1.3501327038
62,French Guiana,0.7969825864
63,Gabon,-0.5450765491
64,Georgia,-0.3592550755
65,Germany,1.8595149517
66,Ghana,-0.3627564907
67,Greece,0.3667252958
68,Greenland,
69,Grenada,0.6996759176
70,Guam,0.7969825864
71,Guatemala,-0.6321060658
72,Guinea,-1.0084424019
73,Guinea-Bissau,-1.0954669714
74,Guyana,-0.5762947798
75,Haiti,-1.448348999
76,Honduras,-0.7422287464
77,Hungary,0.615888834
78,Iceland,2.327442646
79,India,-0.3970731795
80,Indonesia,-0.8550566435
81,Iraq,-1.4589793682
82,Ireland,1.5742264986
83,Israel,0.8084496856
84,Italy,0.3973373771
85,Jamaica,-0.3970421255
86,Japan,1.2100585699
87,Jordan,0.3288232684
88,Kazakhstan,-0.9961338639
89,Kenya,-0.9735090733
90,Kiribati,0.2403280884
91,Kosovo,-0.5758630037
92,Kuwait,0.6336847544
93,Kyrgyz Republic,-1.1703095436
94,Lao PDR,-1.3220844269
95,Latvia,0.3210378885
96,Lebanon,-0.4876469076
97,Lesotho,-0.0394522436
98,Liberia,-1.037224412
99,Libya,-0.8745043874
100,Liechtenstein,1.2721831799
101,Lithuania,0.2241287231
102,Luxembourg,1.6578530073
103,Madagascar,0.0954254642
104,Malawi,-0.735593617
105,Malaysia,0.26895383
106,Maldives,-0.2993863523
107,Mali,-0.4004321694
108,Malta,0.8612088561
109,Marshall Islands,-0.4371889532
110,Martinique,0.7969825864
111,Mauritania,-0.3597709537
112,Mauritius,0.3988301754
113,Mexico,-0.2803199887
114,Moldova,-0.6388522387
115,Monaco,
116,Mongolia,-0.5814210773
117,Montenegro,-0.4204574823
118,Morocco,-0.2975106239
119,Mozambique,-0.5414547324
120,Myanmar,-1.5569396019
121,Namibia,0.1791310757
122,Nauru,
123,Nepal,-0.6311674118
124,Netherlands,1.9651249647
125,Netherlands Antilles,1.2721831799
126,New Caledonia,
127,New Zealand,2.2125563622
128,Nicaragua,-0.606435895
129,Niger,-0.7252924442
130,Nigeria,-1.15879035
131,Niue,
132,Norway,2.0004484653
133,Oman,0.2926197946
134,Pakistan,-1.039716363
135,Palau,
136,Panama,-0.3767885864
137,Papua New Guinea,-1.2489423752
138,Paraguay,-1.4062912464
139,Peru,-0.3601292372
140,Philippines,-0.5912529826
141,Poland,0.2233139575
142,Portugal,1.0570597649
143,Puerto Rico,1.2721831799
144,Qatar,0.8246189356
145,Reunion,0.7969825864
146,Romania,-0.2139643431
147,Russian Federation,-0.7811924219
148,Rwanda,-0.7416055202
149,Samoa,0.1450577825
150,San Marino,
151,Sao Tome and Principe,-0.8600927591
152,Saudi Arabia,-0.1030949354
153,Senegal,-0.0290737338
154,Serbia,-0.3823062479
155,Seychelles,0.1429468393
156,Sierra Leone,-1.0945395231
157,Singapore,2.1949448586
158,Slovak Republic,0.4925737381
159,Slovenia,0.8916293383
160,Solomon Islands,0.0647191927
161,Somalia,-1.6787444353
162,South Africa,0.5807778239
163,South Sudan,
164,Spain,1.2911467552
165,Sri Lanka,-0.3698552251
166,St. Kitts and Nevis,1.0433797836
167,St. Lucia,1.160584569
168,St. Vincent and the Grenadines,1.0433797836
169,Sudan,-1.4496216774
170,Suriname,0.163805455
171,Swaziland,-0.4786266685
172,Sweden,2.0144190788
173,Switzerland,2.022495985
174,Syrian Arab Republic,-0.7066848874
175,Tajikistan,-1.0943870544
176,Tanzania,-0.6498345733
177,Thailand,-0.1013359204
178,Timor-Leste,-0.7890884876
179,Togo,-0.7925125957
180,Tonga,-1.285349369
181,Trinidad and Tobago,-0.0775152296
182,Tunisia,-0.0859719515
183,Turkey,-0.0191282444
184,Turkmenistan,-1.4342848063
185,Tuvalu,-0.1074391529
186,Uganda,-0.8463023305
187,Ukraine,-0.6868624687
188,United Arab Emirates,1.069116354
189,United Kingdom,1.8951317072
190,United States,1.5258636475
